Rank	Stadium	Capacity	City	Country
1	Arthur Ashe Stadium	23,200	New York City	United States
2	O2 Arena	17,500	London	United Kingdom
3	Indian Wells Tennis Garden	16,100	Indian Wells, California	United States
4	Ahoy Rotterdam	15,818	Rotterdam	Netherlands
5=	National Tennis Stadium	15,000	Beijing	China
5=	Qizhong Forest Sports City Arena [A ]	15,000	Shanghai	China
5=	Wimbledon Centre Court [A ]	15,000	London	United Kingdom
8	Stade Roland Garros - Court Philippe Chatrier	14,911	Paris	France
9	Rod Laver Arena	14,820	Melbourne	Australia
10	Perth Arena	13,910	Perth	Australia
11=	Am Rothenbaum	13,300	Hamburg	Germany
11=	Tennis Center at Crandon Park	13,300	Key Biscayne, Florida	United States
13=	Rexall Centre	12,500	Toronto	Canada
13=	Caja Mágica, Estadio Manolo Santana	12,500	Madrid	Spain
13=	Foro Italico, Campo Centrale	12,500	Rome	Italy
16=	Gerry Weber Stadion	12,300	Halle	Germany
16=	Palais Omnisports de Paris-Bercy	12,300	Paris	France
18=	SCC Peterburgsky	12,000	St. Petersburg	Russia
18=	IMPACT Arena	12,000	Bangkok	Thailand
20	Stade Uniprix	11,700	Montreal	Canada
21	Lindner Family Tennis Center (Center Court)	11,435	Mason, Ohio	United States
22	Wimbledon No. 1 Court	11,429	London	United Kingdom
23	Olympic Stadium	11,400	Moscow	Russia
24	HP Pavilion at San Jose	11,386	San Jose, California	United States
25=	Melbourne Multi Purpose Venue	10,500	Melbourne	Australia
25=	Ken Rosewall Arena	10,500	Sydney	Australia
27	Louis Armstrong Stadium	10,200	New York City	United States
28	Stade Roland Garros - Court Suzanne Lenglen	10,076	Paris	France
29=	Lotus Court	10,000	Beijing	China
29=	Estoril Court Central	10,000	Oeiras	Portugal
31=	Ariake Coliseum	9,000	Tokyo	Japan
31=	Monte Carlo Country Club	9,000	Roquebrune-Cap-Martin	France
31=	SRPC Milan Gale Muškatirović	9,000	Belgrade	Serbia
34	Delray Beach Tennis Center	8,200	Delray Beach, Florida	United States
35	Devonshire Park Lawn Tennis Club	8,000	Eastbourne	United Kingdom
36	Real Club de Tenis Barcelona	8,800	Barcelona	Spain
37=	William H.G. FitzGerald Tennis Center	7,500	Washington, D.C.	United States
37=	Wiener Stadthalle	7,500	Vienna	Austria
39	Dom Športova	7,000	Zagreb	Croatia
40	Khalifa International Tennis and Squash Complex	6,911	Doha	Qatar
41	Queen's Club	6,858	London	United Kingdom
42	Buenos Aires Lawn Tennis Club	6,250	Buenos Aires	Argentina
43=	Fairmont Acapulco Princess	6,000	Acapulco	Mexico
43=	St. Jakobshalle	9,000	Basel	Switzerland
43=	Margaret Court Arena	6,000	Melbourne	Australia
43=	Roy Emerson Arena	6,000	Gstaad	Switzerland
43=	Grandstand Stadium	6,000	New York City	United States
43=	Tennis stadium Kitzbühel	6,000	Kitzbühel	Austria
43=	Ciutat de les Arts i les Ciències	6,000	Valencia	Spain
50=	Los Angeles Tennis Center	5,800	Los Angeles	United States
50=	SDAT Tennis Stadium	5,800	Chennai	India
52=	Complexe Al Amal	5,500	Casablanca	Morocco
52=	Pat Rafter Arena	5,500	Brisbane	Australia
52=	Tennis Club Weissenhof	5,500	Stuttgart	Germany
56	Racquet Club of Memphis	5,200	Memphis, Tennessee	United States
57=	Lindner Family Tennis Center (Grandstand)	5,000	Mason, Ohio	United States
57=	Dubai Tennis Stadium	5,000	Dubai	United Arab Emirates
57=	BNR Arenas	5,000	Bucharest	Romania
57=	Qizhong Forest Sports City Grand Stand Court 2	5,000	Shanghai	China
57=	Kungliga Tennishallen	5,000	Stockholm	Sweden
57=	Båstad Tennis Stadium	5,000	Båstad	Sweden
57=	Sportlokaal Bokkeduinen	5,000	Amersfoort	Netherlands
63	Warszawianka Tennis Centre	4,500	Warsaw	Poland
64	Arènes de Metz	4,303	Metz	France
65	MTTC Iphitos	4,300	Munich	Germany
66=	Lindner Family Tennis Center (Court #3)	4,000	Mason, Ohio	United States
66=	ITC Stella Maris	4,000	Umag	Croatia
66=	Newport Casino	4,000	Newport, Rhode Island	United States
66=	Moon Court	4,000	Beijing	China
66=	Wimbledon No. 2 Court	4,000	London	United Kingdom
71	Roland Garros No. 1 Court	3,805	Paris	France
72	Estadio 2: Arantxa Sánchez Vicario	3,500	Madrid	Spain
73=	River Oaks Country Club	3,000	Houston, Texas	United States
73=	Australia Show Court 2	3,000	Melbourne	Australia
73=	Australia Show Court 3	3,000	Melbourne	Australia
76=	Court 17	2,500	New York	United States
76=	Estadio 3	2,500	Madrid	Spain
78=	Lindner Family Tennis Center (Court #9)	2,000	Mason, Ohio	United States
78=	Qizhong Forest Sports City Court 3	2,000	Shanghai	China
78=	Show Court 1	2,000	Beijing	China
78=	Wimbledon No. 3 Court	2,000	London	United Kingdom
82	Werzer Arena	1,600	Pörtschach	Austria
83=	Kort Centralny ( Park Tenisowy Olimpia )	1,500	Poznań	Poland
83=	LTAT National Tennis Development Centre	1,500	Bangkok	Thailand
83=	Athens Lawn Tennis Club	1,500	Athens	Greece
