Number	Time	Aircraft	Opponent	Location
1	1810	Nieuport	Pfalz D.III	Baussant
2	0805	Nieuport	Pfalz D.III	Pont-à-Mousson
3	1824	Nieuport	Albatros D.V	Ribécourt
4	0912	Nieuport	Albatros D.V	Flirey
5	0925	Nieuport	Albatros C.I	Bois de Rate
6	0738	Nieuport	Albatros C.I	Jaulny
7	0815	SPAD XIII	Fokker D.VII	Villecy
8	0810	SPAD XIII	Fokker D.VII	Bois de Warville
9	0840	SPAD XIII	Fokker D.VII	Billy
10	0850	SPAD XIII	Halberstadt C	Foret de Spincourt
11	0600	SPAD XIII	Fokker D.VII	Damvillers
12	0500	SPAD XIII	Balloon	Sivry-sur-Meuse
13	1930	SPAD XIII	Balloon	Puzieux
14	1730	SPAD XIII	Hannover CL	Montfaucon
15	1740	SPAD XIII	Fokker D.VII	Vilosnes
16	1707	SPAD XIII	Balloon	Dannevoux
17	1640	SPAD XIII	Fokker D.VII	Cléry-le-Grand
18	1752	SPAD XIII	Fokker D.VII	Dun-sur-Meuse
19	1552	SPAD XIII	Fokker D.VII	Cléry-le-Petit
20	1552	SPAD XIII	Fokker D.VII	Cléry-le-Petit
21	1555	SPAD XIII	Fokker D.VII	Cléry-le-Petit
22	1655	SPAD XIII	Fokker D.VII	Grande Carne Ferme
23	1505	SPAD XIII	Fokker D.VII	Bois de Money
24	1450	SPAD XIII	Fokker D.VII	Grand Pre
25	1635	SPAD XIII	Balloon	St. Juvin
26	1040	SPAD XIII	Balloon	Remonville
