State	Preliminary Average	Interview	Swimsuit	Evening Gown	Semifinal Average
Nebraska	8.450 (5)	7.938 (10)	7.489 (11)	7.832 (8)	7.753 (10)
Arizona	8.317 (8)	8.950 (4)	8.670 (4)	8.701 (2)	8.774 (2)
South Carolina	9.086 (1)	9.082 (1)	9.097 (1)	9.567 (1)	9.249 (1)
Minnesota	8.083 (12)	7.858 (11)	7.031 (12)	7.518 (12)	7.469 (12)
Texas	8.503 (4)	7.417 (12)	8.008 (9)	7.703 (10)	7.709 (11)
Florida	8.924 (3)	9.029 (2)	8.953 (2)	8.313 (4)	8.765 (3)
Alabama	8.334 (7)	8.822 (5)	8.775 (3)	8.268 (5)	8.621 (4)
New Mexico	8.998 (2)	8.804 (6)	8.438 (5)	7.968 (7)	8.403 (6)
Maryland	8.344 (6)	8.498 (7)	8.167 (8)	8.176 (6)	8.280 (7)
New Hampshire	8.104 (11)	8.029 (9)	7.826 (10)	7.625 (11)	7.827 (9)
Kentucky	8.247 (9)	8.989 (3)	8.347 (6)	8.457 (3)	8.598 (5)
