Name	#	Position	Height	Weight	Year	Home Town	High School
Marvin Alexander	22	Guard-Forward	6–4	190	Junior	Houston, TX	Worthing
Benny Anders	32	Guard-Forward	6–5	188	Junior	Bernice, LA	Bernice
Greg Anderson	54	Forward-Center	6–9	220	Freshman	Houston, TX	Worthing
Stacey Belcher	50	Forward	6–6	210	Freshman	Houston, TX	Yates
Braxton Clark	52	Forward	6–8	230	Junior	San Francisco, CA	Mission / De Anza CC
Eric Dickens	14	Guard	6–1	170	Junior	Houston, TX	Madison
Alvin Franklin	20	Guard	6–2	185	Sophomore	La Marque, TX	La Marque
Reid Gettys	44	Guard-Forward	6–6	200	Junior	Houston, TX	Memorial
Derek Giles	10	Guard	6–3	175	Senior	Queens, NY	Bayside
Hakeem Olajuwon	34	Center	7–0	255	Junior	Lagos, Nigeria	Muslim Teachers College
Gary Orsak	30	Forward	6–7	220	Junior	Alvin, Texas	Alvin
Renaldo Thomas	12	Guard	6–4	200	Sophomore	Gary, IN	Roosevelt
James Weaver	24	Guard	6–4	190	Freshman	Nederland, TX	Nederland
Rickie Winslow	40	Forward	6–8	215	Freshman	Houston, TX	Yates
