Player	Sacks	INT'S	Yards	Average	Long
John Anderson	6.0	2	2	1.0	2
Robert Brown	3.0	0	0	0.0	0
Mike Butler	2.0	0	0	0.0	0
Mossy Cade	0.0	1	0	0.0	0
Alphonso Carreker	9.0	0	0	0.0	0
Mike Douglass	1.5	2	126	63.0	80t
Tom Flynn	0.0	1	7	7.0	7
Donnie Humphrey	2.0	0	0	0.0	0
Ezra Johnson	9.5	0	0	0.0	0
Mark Lee	0.0	1	23	23.0	23
Tim Lewis	0.0	4	4	1.0	4
Charles Martin	3.0	0	0	0.0	0
Mark Murphy	4.0	2	50	25.0	50t
Brian Noble	3.0	0	0	0.0	0
Guy Prather	2.0	0	0	0.0	0
Randy Scott	3.0	2	50	25.0	30
TOTALS	48.0	15	262	17.5	8
