Year	Player	Nationality	Position played	Team represented
1998	Cynthia Cooper	United States	Point guard	Houston Comets
1999	Cynthia Cooper (2)	United States	Point guard	Houston Comets
2000	Cynthia Cooper (3)	United States	Point guard	Houston Comets
2001	Sheryl Swoopes	United States	Small forward	Houston Comets
2002	Lisa Leslie	United States	Center	Los Angeles Sparks
2003	Lisa Leslie (2)	United States	Center	Los Angeles Sparks
2004	Lauren Jackson	Australia	Power forward	Seattle Storm
2005	Lauren Jackson (2)	Australia	Power forward	Seattle Storm
2006	Sheryl Swoopes (2)	United States	Small forward	Houston Comets
2007	Lisa Leslie (3)	United States	Center	Los Angeles Sparks
2008	Lauren Jackson (3)	Australia	Power forward	Seattle Storm
2009	Candace Parker	United States	Power forward	Los Angeles Sparks
2010	Diana Taurasi	United States	Shooting guard	Phoenix Mercury
2011	Diana Taurasi (2)	United States	Shooting guard	Phoenix Mercury
2012	Diana Taurasi (3)	United States	Shooting guard	Phoenix Mercury
