Team	City	Founded	First season in Segunda División	First season of current spell in Segunda División	Stadium	Capacity	Field	Top division titles	Last top division title
Alfonso Ugarte	Puno	1928	2006	2013	Enrique Torres Belón	20,000	Grass	0	—
Alianza Universidad	Huánuco	1939	2012	2012	Heraclio Tapia	15,000	Grass	0	—
Atlético Minero	Matucana	1997	2006	2009	Municipal de Matucana	5,000	Grass	0	—
Atlético Torino	Talara	1946	2009	2009	Campeonísimo	8,000	Grass	0	—
Defensor San Alejandro	Aguaytía	1969	2013	2013	Aliardo Soria Pérez	13,000	Grass	0	—
Deportivo Coopsol	Chancay	1964	1999	1999	Rómulo Shaw Cisneros	13,000	Grass	1	2000
Deportivo Municipal	Lima	1935	1968	2013	Miguel Grau	15,000	Grass	2	2006
Sport Boys	Callao	1927	1988	2013	Miguel Grau	15,000	Grass	2	2009
Sport Victoria	Ica	1919	2013	2013	Max Augustín	24,576	Grass	0	—
Sportivo Huracán	Arequipa	1927	2013	2013	Mariano Melgar	20,000	Grass	0	—
Walter Ormeño	Cañete	1950	1988	2013	Oscar Ramos Cabieses	8,000	Grass	0	—
