Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	18 April 1988	Madrid , Spain	Clay	Jason Stoltenberg	Sergio Casal Emilio Sánchez	7–6, 6–7, 3–6
Winner	12 March 1990	Casablanca , Morocco	Clay	Simon Youl	Paul Haarhuis Mark Koevermans	6–3, 6–1
Runner-up	23 April 1990	Seoul , South Korea	Hard	Jason Stoltenberg	Grant Connell Glenn Michibata	6–7, 4–6
Runner-up	7 May 1990	Singapore	Hard	Brad Drewett	Mark Kratzmann Jason Stoltenberg	1–6, 0–6
Winner	1 October 1990	Brisbane , Australia (1)	Hard	Jason Stoltenberg	Brian Garrow Mark Woodforde	2–6, 6–4, 6–4
Winner	18 February 1991	Brussels , Belgium	Carpet	Mark Woodforde	Libor Pimek Michiel Schapers	6–3, 6–0
Winner	11 March 1991	Copenhagen , Denmark	Carpet	Mark Woodforde	Mansour Bahrami Andrei Olhovskiy	6–3, 6–1
Winner	15 April 1991	Tokyo , Japan (1)	Hard	Stefan Edberg	John Fitzgerald Anders Järryd	6–4, 5–7, 6–4
Winner	17 June 1991	Queen's Club , UK (1)	Grass	Mark Woodforde	Grant Connell Glenn Michibata	6–4, 7–6
Winner	26 August 1991	Schenectady , US	Hard	Javier Sánchez	Andrés Gómez Emilio Sánchez	3–6, 7–6, 7–6
Winner	30 September 1991	Brisbane, Australia (2)	Hard	Mark Woodforde	John Fitzgerald Glenn Michibata	7–6, 6–3
Winner	27 January 1992	Australian Open , Melbourne (1)	Hard	Mark Woodforde	Kelly Jones Rick Leach	6–4, 6–3, 6–4
Winner	17 February 1992	Memphis , US (1)	Hard (i)	Mark Woodforde	Kevin Curren Gary Muller	7–5, 4–6, 7–6
Winner	24 February 1992	Philadelphia , US (1)	Carpet	Mark Woodforde	Jim Grabb Richey Reneberg	6–4, 7–6
Winner	6 April 1992	Singapore (1)	Hard	Mark Woodforde	Grant Connell Glenn Michibata	6–7, 6–2, 6–4
Winner	17 August 1992	Cincinnati , US (1)	Hard	Mark Woodforde	Patrick McEnroe Jonathan Stark	6–3, 1–6, 6–3
Winner	19 October 1992	Tokyo Indoor , Japan	Hard (i)	Mark Woodforde	Jim Grabb Richey Reneberg	7–6, 6–4
Winner	2 November 1992	Stockholm , Sweden (1)	Carpet	Mark Woodforde	Steve DeVries David Macpherson	6–3, 6–4
Winner	29 November 1992	Tennis Masters Cup , Johannesburg (1)	Hard	Mark Woodforde	John Fitzgerald Anders Järryd	6–2, 7–6(4), 5–7, 3–6, 6–3
Winner	11 January 1993	Adelaide , Australia (1)	Hard	Mark Woodforde	John Fitzgerald Laurie Warder	6–4, 7–5
Winner	15 February 1993	Memphis, US (2)	Hard (i)	Mark Woodforde	Jacco Eltingh Paul Haarhuis	7–5, 6–2
Winner	19 April 1993	Hong Kong	Hard	David Wheaton	Sandon Stolle Jason Stoltenberg	6–1, 6–3
Winner	14 June 1993	Queen's Club, UK ()	Grass	Mark Woodforde	Neil Broad Gary Muller	6–7, 6–3, 6–4
Winner	5 July 1993	Wimbledon , London (1)	Grass	Mark Woodforde	Grant Connell Patrick Galbraith	7–5, 6–3, 7–6(4)
Winner	1 November 1993	Stockholm, Sweden (2)	Carpet	Mark Woodforde	Gary Muller Danie Visser	6–1, 3–6, 6–2
Runner-up	28 November 1993	Tennis Masters Cup, Johannesburg	Hard (i)	Mark Woodforde	Jacco Eltingh Paul Haarhuis	6–7, 6–7, 4–6
Winner	7 February 1994	Dubai , UAE	Hard	Mark Woodforde	Darren Cahill John Fitzgerald	6–7, 6–4, 6–2
Winner	9 May 1994	Pinehurst , US (1)	Clay	Mark Woodforde	Jared Palmer Richey Reneberg	6–2, 3–6, 6–3
Runner-up	13 June 1994	Queen's Club, UK	Grass	Mark Woodforde	Jan Apell Jonas Björkman	6–3, 6–7, 4–6
Winner	4 July 1994	Wimbledon, London (2)	Grass	Mark Woodforde	Grant Connell Patrick Galbraith	7–6, 6–3, 6–1
Winner	22 August 1994	Indianapolis , US	Hard	Mark Woodforde	Jim Grabb Richey Reneberg	6–3, 6–4
Runner-up	12 September 1994	US Open , New York	Hard	Mark Woodforde	Jacco Eltingh Paul Haarhuis	3–6, 6–7
Winner	31 October 1994	Stockholm, Sweden (3)	Carpet	Mark Woodforde	Jan Apell Jonas Björkman	6–3, 6–4
Runner-up	28 November 1994	Tennis Masters Cup, Jakarta	Hard (i)	Mark Woodforde	Jan Apell Jonas Björkman	4–6, 6–4, 6–4, 6–7, 6–7
Winner	16 January 1995	Sydney , Australia (1)	Hard	Mark Woodforde	Trevor Kronemann David Macpherson	7–6, 6–4
Winner	27 March 1995	Miami , US (1)	Hard	Mark Woodforde	Jim Grabb Patrick McEnroe	6–3, 7–6
Winner	15 May 1995	Pinehurst , US (2)	Clay	Mark Woodforde	Alex O'Brien Sandon Stolle	6–2, 6–4
Winner	22 May 1995	Coral Springs , US (1)	Clay	Mark Woodforde	Sergio Casal Emilio Sánchez	6–3, 6–1
Winner	10 July 1995	Wimbledon, London (3)	Grass	Mark Woodforde	Rick Leach Scott Melville	7–5, 7–6, 7–6
