Week	Date	Opponent	Result	Attendance
1	September 28, 1958	at Philadelphia Eagles	W 24-14	36,853
2	October 4, 1958	at Chicago Cardinals	L 37-10	21,824
3	October 12, 1958	New York Giants	L 21-14	30,348
4	October 19, 1958	Green Bay Packers	W 37-21	25,228
5	October 26, 1958	at Baltimore Colts	L 35-10	54,403
6	November 2, 1958	at Pittsburgh Steelers	L 24-16	19,525
7	November 9, 1958	Chicago Cardinals	W 45-31	26,196
8	November 16, 1958	Cleveland Browns	L 20-10	32,372
9	November 23, 1958	at New York Giants	L 30-0	46,752
10	November 30, 1958	at Cleveland Browns	L 21-14	33,240
11	December 7, 1958	Pittsburgh Steelers	T 14-14	23,370
12	December 14, 1958	Philadelphia Eagles	W 20-0	22,621
