Club	League	Venue	Capacity	Location	Established	Championships
New York Yankees	MLB Baseball	Yankee Stadium	50,291	Bronx, New York	1901	27
New York Giants	NFL Football	MetLife Stadium	82,566	East Rutherford, New Jersey	1925	8
New York Rangers	NHL Ice Hockey	Madison Square Garden	17,200 (Hockey)	Manhattan, New York	1926	4
New York Knicks	NBA Basketball	Madison Square Garden	19,033 (Basketball)	Manhattan, New York	1946	2
New York Jets	NFL Football	MetLife Stadium	82,566	East Rutherford, New Jersey	1960	1
New York Mets	MLB Baseball	Citi Field	41,922	Queens, New York	1962	2
Brooklyn Nets	NBA Basketball	Barclays Center	17,732	Brooklyn, New York	1967	2
New York Cosmos	NASL Soccer	James M. Shuart Stadium	11,929	Hempstead, New York	1971	5
New York Islanders	NHL Ice Hockey	Nassau Veterans Memorial Coliseum	16,170	Uniondale, New York	1972	4
New Jersey Devils	NHL Ice Hockey	Prudential Center	17,625 (Hockey)	Newark, New Jersey	1974	3
New York Red Bulls	MLS Soccer	Red Bull Arena	25,189	Harrison, New Jersey	1995	0
New York Liberty	WNBA Basketball	Prudential Center	18,711 (Basketball)	Manhattan, New York	1997	0
Sky Blue FC	NWSL Soccer	Yurcak Field	5,000	Piscataway Township, New Jersey	2007	1
New York Lizards	MLL Lacrosse	James M. Shuart Stadium	11,929	Hempstead, New York	2001	2
New York City FC	MLS Soccer	Yankee Stadium	50,291	Bronx, New York	2013	0
