Player	Height	Position	Year born (Age)	Current Club
Marcelo Magalhães Machado	2.00	SF	April 12, 1975 (age38)	Flamengo
Eduardo Magalhães Machado	1.91	SF	September 10, 1982 (age31)	Menorca Bàsquet
Murilo da Rosa	2.11	F/C	July 14, 1983 (age30)	Maccabi Tel Aviv
Ricardo Probst	2.00	SF	April 13, 1976 (age37)	Conti/Assis
Fulvio Chiantia de Assis	1.87	G	August 15, 1981 (age32)	Paulistano
Marcelinho Huertas	1.91	PG	May 25, 1983 (age30)	Fortitudo Bologna
Alex Garcia	1.91	SG	March 4, 1980 (age33)	Maccabi Tel Aviv
Marcus Vinicius Urban Toledo dos Reis	2.03	F	July 10, 1986 (age27)	Plus Pujol Lleida
Rafael Araújo	2.11	C	August 12, 1980 (age33)	Spartak Saint Petersburg
João Paulo Batista	2.08	C	October 29, 1981 (age32)	Barons LMT
Jonathan Tavernari	1.96	F	June 18, 1987 (age26)	Brigham Young University
Tiago Splitter	2.11	PF/C	January 1, 1985 (age29)	TAU Cerámica
