Game	December	Opponent	Score	Record
25	2	Pittsburgh Penguins	6 - 0	11-13-1
26	4	Winnipeg Jets	7 - 4	12-13-1
27	7	@ Philadelphia Flyers	4 - 0	12-14-1
28	8	Philadelphia Flyers	3 - 1	13-14-1
29	11	@ New Jersey Devils	4 - 2	14-14-1
30	14	@ Boston Bruins	4 - 2	14-15-1
31	15	Pittsburgh Penguins	5 - 2	14-16-1
32	18	Buffalo Sabres	5 - 4	14-17-1
33	20	New York Islanders	2 - 2 OT	14-17-2
34	21	@ New York Islanders	5 - 4	15-17-2
35	23	Detroit Red Wings	10 - 2	16-17-2
36	26	@ Buffalo Sabres	6 - 1	16-18-2
37	28	@ Minnesota North Stars	3 - 1	16-19-2
38	29	Washington Capitals	6 - 5	17-19-2
