Place	Player	Country	Score	To par	Money ( $ )
T1	Payne Stewart	United States	67-70-73-72=282	–6	Playoff
T1	Scott Simpson	United States	70-68-72-72=282	–6	Playoff
T3	Fred Couples	United States	70-70-75-70=285	–3	62,574
T3	Larry Nelson	United States	73-72-72-68=285	–3	62,574
5	Fuzzy Zoeller	United States	72-73-74-67=286	–2	41,542
6	Scott Hoch	United States	69-71-74-73=287	–1	36,090
7	Nolan Henke	United States	67-71-77-73=288	E	32,176
T8	Raymond Floyd	United States	73-72-76-68=289	+1	26,958
T8	José María Olazábal	Spain	73-71-75-70=289	+1	26,958
T8	Corey Pavin	United States	71-67-79-72=289	+1	26,958
