Place	Player	Country	Score	To par
1	Lee Janzen	United States	67-67-69=203	–7
2	Payne Stewart	United States	70-66-68=204	–6
3	Nick Price	Zimbabwe	71-66-70=207	–3
T4	Paul Azinger	United States	71-68-69=206	–2
T4	David Edwards	United States	70-72-66=206	–2
T6	John Adams	United States	70-70-69=209	–1
T6	Fred Funk	United States	70-72-67=209	–1
T6	Wayne Levi	United States	71-69-69=209	–1
T6	Craig Parry	Australia	66-74-69=209	–1
T6	Mike Standly	United States	70-69-70=209	–1
T6	Tom Watson	United States	70-66-73=209	–1
