Nationality	Position	Real Betis career	Appearances	Goals
Argentina	Striker	1959–1961	47	18
Argentina	Midfielder	1983–1987	131	38
Argentina	Goalkeeper	1988–1990	67	0
Argentina	Striker	1993–1995	29	7
Azerbaijan	Striker	1993–1995	42	9
Yugoslavia	Defender	1994–2000	120	6
Brazil	Striker	1998–1999	4	1
Brazil	Midfielder	1998-2000 2001-2005	165	12
Brazil	Midfielder	2002–2007	137	23
Brazil	Striker	2004–2006	46	27
Brazil	Striker	2006–2007	48	16
Brazil	Striker	2006–2008	57	15
Brazil	Striker	2004–2009	136	36
Bulgaria	Defender	1990–1991	20	5
Chile	Midfielder	1987–1989	55	3
Chile	Striker	2007–2009	44	10
Croatia	Midfielder	1995–1998	98	19
Croatia	Midfielder	1996–1998	30	2
Czech Republic	Midfielder	1990–1992	22	1
Equatorial Guinea Spain	Midfielder	1998–2007	144	7
Iceland	Midfielder	2001–2004	12	0
Nigeria	Midfielder	1996–2000	130	38
Paraguay	Striker	1980–1983	75	29
Paraguay	Defender	1999	17	1
Poland	Striker	1994–1998	62	14
Romania	Defender	1999–2003	127	8
Slovakia	Midfielder	1999–2000	32	2
Spain	Striker	1932–1935	55	24
Spain	Midfielder	1932–1936	49	12
Spain	Striker	1933–1936	55	29
Spain	Midfielder	1954-1960 1972-1973	57	6
Spain	Striker	1961–1964	86	33
Spain	Defender	1971–1981	236	2
Spain	Midfielder	1971–1982	226	25
Spain	Defender	1971–1983	219	8
Spain	Defender	1971–1983	203	14
Spain	Midfielder	1974–1985	306	40
Spain	Goalkeeper	1974–1985	303	0
Spain	Defender	1976–1985	237	18
Spain	Defender	1979–1987	221	1
Spain	Defender	1979–1987	206	2
Spain	Midfielder	1980–1987	221	24
Spain	Defender	1980–1987	120	4
Spain	Striker	1981–1989	223	78
Spain	Midfielder	1981–1989	76	9
Spain	Midfielder	1982–1988	81	6
Spain	Defender	1982–1988	198	4
Spain	Midfielder	1983–1988	113	13
Spain	Defender	1983–1989	142	4
Spain	Midfielder	1984–1988	80	3
Spain	Midfielder	1984–1991	137	11
Spain	Midfielder	1986–1990	101	11
Spain	Defender	1986–1994	104	3
Spain	Midfielder	1990-1995 1997-2000	84	15
Spain	Defender	1990–2000	143	3
Spain	Defender	1994–1999	125	7
Spain	Defender	1994–1999	118	0
Spain	Midfielder	1994–2006	228	10
Spain Italy	Striker	1995–1997	71	23
Spain	Striker	1995-2000 2002-2005	197	67
Spain	Goalkeeper	1996–2005	244	2
Spain	Defender	1996–2006	210	1
Spain	Defender	1996–2006	143	3
Spain	Striker	1997–2000	91	19
Spain	Striker	1998	0	0
Spain Morocco	Striker	1988–1989	28	3
Spain	Midfielder	1998–2004	162	5
Spain	Midfielder	1999–2006	216	32
Spain	Striker	2001–2007	92	19
Spain	Goalkeeper	2003–2007	55	0
Spain	Goalkeeper	1999–2008	76	0
Spain	Striker	1999–2008	148	28
Switzerland	Midfielder	2006–2007	17	0
United States Uruguay	Midfielder	1992–1995	18	0
Uruguay	Midfielder	1979–1982	83	2
Uruguay	Midfielder	1990–1991	6	1
Yugoslavia	Defender	1985–1987	76	8
Yugoslavia	Midfielder	1994–1996	72	7
Yugoslavia	Midfielder	1996–1998	56	1
