Year	Date	Home Team	Result	Visiting Team	Venue	Attendance
1950	October 1	San Francisco 49ers	14-35	Los Angeles Rams	Kezar Stadium	27,262
1950	November 5	Los Angeles Rams	28-21	San Francisco 49ers	Los Angeles Memorial Coliseum	33,234
1951	October 28	San Francisco 49ers	44-17	Los Angeles Rams	Kezar Stadium	49,538
1951	November 4	Los Angeles Rams	23-16	San Francisco 49ers	Los Angeles Memorial Coliseum	54,346
1952	November 23	Los Angeles Rams	35-9	San Francisco 49ers	Los Angeles Memorial Coliseum	77,698
1952	November 30	San Francisco 49ers	21-34	Los Angeles Rams	Kezar Stadium	48,731
1953	October 4	San Francisco 49ers	31-30	Los Angeles Rams	Kezar Stadium	43,922
1953	November 8	Los Angeles Rams	27-31	San Francisco 49ers	Los Angeles Memorial Coliseum	85,865
1954	October 3	Los Angeles Rams	24-24	San Francisco 49ers	Los Angeles Memorial Coliseum	93,621
1954	November 7	San Francisco 49ers	34-42	Los Angeles Rams	Kezar Stadium	58,958
1955	September 25	San Francisco 49ers	23-14	Los Angeles Rams	Kezar Stadium	60,100
1955	November 6	Los Angeles Rams	27-14	San Francisco 49ers	Los Angeles Memorial Coliseum	85,302
1956	October 7	San Francisco 49ers	33-30	Los Angeles Rams	Kezar Stadium	54,589
1956	November 11	Los Angeles Rams	30-6	San Francisco 49ers	Los Angeles Memorial Coliseum	69,828
1957	October 6	San Francisco 49ers	23-20	Los Angeles Rams	Kezar Stadium	59,637
1957	November 10	Los Angeles Rams	37-24	San Francisco 49ers	Los Angeles Memorial Coliseum	102,368
1958	October 5	San Francisco 49ers	3-33	Los Angeles Rams	Kezar Stadium	73,164
1958	November 9	Los Angeles Rams	56-7	San Francisco 49ers	Los Angeles Memorial Coliseum	95,082
1959	October 4	San Francisco 49ers	34-0	Los Angeles Rams	Kezar Stadium	56,028
1959	November 8	Los Angeles Rams	16-24	San Francisco 49ers	Los Angeles Memorial Coliseum	94,376
