Swedish title	Norwegian title	Icelandic title	Translated title	Polish title	Hungarian title	Published
Trollbunden	Trollbundet	Álagafjötrar	Spellbound	Zauroczenie	Varázslat	1982
Häxjakten	Heksejakten	Nornaveiðar	The Witch-hunt	Polowanie na czarownice	Átkos örökség	1982
Avgrunden	Avgrunnen	Hyldýpið	The Precipice	Otchłań	Örvényben	1982
Längtan	Lengsel	Vonin	Longing	Tęsknota	Vágyakozás	1982
Dödssynden	Dødssynden	Dauðasyndin	The Mortal Sin	Grzech śmiertelny	Halálos bűn	1982
Det onda arvet	Den onde arven	Illur arfur	The Evil Legacy	Dziedzictwo zła	Nincs menekülés	1982
Spökslottet (novel)	Spökslottet	Draugahöllin	The Ghost Castle	Zamek duchów	Kísértetkastély	1982
Bödelns dotter	Bøddelens datter	Dóttir böðulsins	The Executioner's Daughter	Córka hycla	A pribék lánya	1982
Den ensamme	Den ensomme	Skuggi fortíðar	The Lonely One	Samotny	A magányos lovag	1982
Vinterstorm	Vinterstorm	Vetrarhríð	Winter Storm	Zimowa zawierucha	Hóvihar	1983
Blodshämnd	Blodhevn	Blóðhefnd	Blood Feud	Zemsta	Vérbosszú	1983
Feber i blodet	Feber i blodet	Ástarfuni	Fever in the Blood	Gorączka	Nyugtalan szív	1983
Satans fotspår	Satans fotspor	Fótspor Satans	Footprints of Satan	Ślady Szatana	A sátán lábnyoma	1983
Den siste riddaren	Den siste ridder	Síðasti riddarinn	The Last Knight	Ostatni rycerz	Remény nélkül	1983
Vinden från öster	Vinden fra øst	Austanvindar	The Wind from the East	Wiatr od Wschodu	Keleti szél	1984
Galgdockan	Galgeblomsten	Gálgablómið	The Mandrake	Kwiat wisielców	A bitófa virága	1984
Dödens trädgård	Dødens have	Garður dauðans	The Garden of Death	Ogród śmierci	A halál kertje	1984
Bakom fasaden	Bak fasaden	Gríman fellur	Behind the Facade	Dom upiorów	Maszkabál	1984
Drakens tänder	Dragens tenner	Tennur drekans	Dragon's Teeth	Zęby smoka	Sárkányfogvetemény	1984
Korpens vingar	Ravnens vinger	Hrafnsvængir	Wings of the Raven	Skrzydła kruka	Hollószárnyak suhogása	1985
Vargtimmen	Djevlekløften	Um óttubil	The Wolf Hour	Diabelski Jar	Farkasok órája	1985
Demonen och jungfrun	Demonen og jomfruen	Jómfrúin og vætturin	The Demon and the Maiden	Demon i panna	Démon és angyal	1985
Våroffer	Våroffer	Vorfórn	Spring Sacrifice	Wiosenna ofiara	Áldozat	1985
Djupt i jorden	I jordens dyp	Í iðrum jarðar	Deep in the Ground	Martwe Wrzosy	A mélyben	1985
Ängel med dolda horn	Engel med svarte vinger	Guðsbarn eða galdranorn	Angel with Hidden Horns	Anioł o czarnych skrzydłach	Álnok tündér	1985
Huset i Eldafjord	Huset i Eldafjord	Álagahúsið	The House in Eldafjord	Dom w Eldafjord	Az eldafjordi ház	1986
Synden har lång svans	Skandalen	Hneykslið	Sin has a Long Tail	Skandal	Skandalum	1986
Is och eld	Is og ild	Ís og eldur	Ice and Fire	Lód i ogień	Láng és jég	1986
Lucifers kärlek	Lucifers kjærlighet	Ástir Lúcífers	Lucifer's Love	Miłość Lucyfera	Lucifer szerelme	1986
Människadjuret	Utysket	Ókindin	The Man-Beast	Bestia i wilki	A dúvad	1986
Färjkarlen	Fergemannen	Ferjumaðurinn	The Ferryman	Przewoźnik	A révész	1987
Hunger	Hunger	Hungur	Hunger	Głód	Éhség	1987
Nattens demon	Nattens demon	Martröð	The Demon of the Night	Demon Nocy	Nem isten, nem ember	1987
Kvinnan på stranden	Kvinnen på stranden	Konan á ströndinni	The Woman on the Beach	Kobieta na brzegu	A tengerparti lány	1987
Vandring i mörkret	Vandring i mørket	Myrkraverk	Wanderings in Darkness	Droga w ciemnościach	Vándorlás a sötétben	1987
Trollmåne	Trollmåne	Galdratungl	Magic Moon	Magiczny księżyc	Holdvarázs	1987
Stad i skräck	Skrekkens by	Vágestur	A Town in Fear	Miasto strachu	A rettegő város	1987
Små män kastar långa skuggor	Skjulte spor	Í skugga stríðsins	Small Men Throw Long Shadows	Urwany ślad	Csigaház	1988
Rop av stumma röster	Rop av stumme røster	Raddirnar	Screams of Silent Voices	Nieme głosy	Hangtalan sikoly	1988
Fångad av tiden	Fanget av tiden	Fangi tímans	Imprisoned by Time	Więźniowie czasu	A múlt börtönében	1988
Demonernas fjäll	Demonenes fjell	Djöflafjallið	Demon Mountain	Góra Demonów	A démonok hegyén	1988
Lugnet före stormen	Stille før stormen	Úr launsátri	The Calm Before the Storm	Cisza przed burzą	Vihar előtti csend	1988
En glimt av ömhet	Et streif av ømhet	Í blíðu og stríðu	A Glimpse of Tenderness	Odrobina czułości	A szeretet hatalma	1989
Den onda dagen	Den onde dagen	Skapadægur	The Evil Day	Fatalny dzień	Baljós nap	1989
Legenden om Marco	Legenden om Marco	Böðullinn	The Legend of Marco	Książę Czarnych Sal	Marco legendája	1989
Det svarta vattnet	Det svarte vannet	Svarta vatnið	The Black Water	Woda zła	A fekete víz	1989
Är det någon därute?	Er det noen der ute?	Er einhver þarna úti?	Is There Anybody Out There?	Czy jesteśmy tutaj sami?	Van valaki odakint?	1989
