Date	Opponent	Score	Loss	Attendance	Record
May 1	@ Brewers	4 - 3	Key (1-1)	13,794	16-8
May 2	@ Brewers	5 - 4	Morris (3-2)	26,547	16-9
May 3	@ Brewers	4 - 1	Wegman (2-2)	17,312	17-9
May 4	@ Athletics	7 - 3	Darling (1-2)	20,137	18-9
May 5	@ Athletics	5 - 1	Slusarski (2-1)	18,753	19-9
May 6	@ Mariners	12 - 4	Johnson (3-2)	12,771	20-9
May 7	@ Mariners	8 - 7	Schooler (0-2)	13,347	21-9
May 8	@ Angels	4 - 1	Stieb (1-3)	36,383	21-10
May 9	@ Angels	2 - 1	Stottlemyre (4-2)	36,159	21-11
May 10	@ Angels	4 - 1	Grahe (2-3)	23,009	22-11
May 12	Athletics	3 - 0	Stewart (2-3)	50,407	23-11
May 13	Athletics	4 - 3	Moore (4-2)	50,394	24-11
May 14	Mariners	5 - 4	Jones (1-1)	50,375	25-11
May 15	Mariners	2 - 1	Stottlemyre (4-3)	50,405	25-12
May 16	Mariners	7 - 6	Wells (1-2)	50,385	25-13
May 17	Mariners	3 - 2	Key (3-2)	50,364	25-14
May 18	Twins	6 - 2 (11)	Ward (1-2)	50,391	25-15
May 19	Twins	7 - 1	Stieb (2-4)	50,338	25-16
May 20	Twins	8 - 7 (10)	Aguilera (0-4)	50,125	26-16
May 22	@ White Sox	6 - 2	McDowell (7-2)	37,446	27-16
May 23	@ White Sox	5 - 2	Key (3-3)	39,293	27-17
May 24	@ White Sox	8 - 1	Morris (4-3)	32,230	27-18
May 26	Brewers	5 - 4	Bones (1-2)	49,360	28-18
May 27	Brewers	8 - 4	Stottlemyre (4-4)	50,376	28-19
May 29	White Sox	3 - 0	Hibbard (5-3)	50,408	29-19
May 30	White Sox	2 - 1 (11)	Pall (2-2)	50,391	30-19
May 31	White Sox	3 - 2	Thigpen (0-2)	50,393	31-19
