School	Location	Mascot	County	2013-2014 Size	Year Joined	Previous Conference
Avon	Avon	Orioles	32 Hendricks	2,608	2000	Mid-State
Brownsburg	Brownsburg	Bulldogs	32 Hendricks	2,370	2000	Olympic
Fishers	Fishers	Tigers	29 Hamilton	2,582	2006	none (new school)
Hamilton Southeastern	Fishers	Royals	29 Hamilton	3,009	2000	Olympic
Harrison (West Lafayette)	West Lafayette	Raiders	79 Tippecanoe	1,740	2000	Olympic
Lafayette Jeff	Lafayette	Bronchos	79 Tippecanoe	1,935	2004	North Central
McCutcheon	Lafayette	Mavericks	79 Tippecanoe	1,809	2000	Olympic
Noblesville	Noblesville	Millers	29 Hamilton	2,637	2000	Olympic
Westfield	Westfield	Shamrocks	29 Hamilton	1,821	2000	Rangeline
Zionsville	Zionsville	Eagles	06 Boone	1,808	2000	Rangeline
