Date	Opponent	Score	Loss	Attendance	Record
April 4	@ Padres	8–2	Ashby (0–1)	27,104	1–0
April 6	@ Padres	4–3	Astacio (0–1)	61,247	1–1
April 7	@ Padres	2–1	Jones (0–1)	32,751	1–2
April 8	@ Dodgers	4–2	Pérez (0–1)	27,879	2–2
April 9	@ Dodgers	9–6	Thomson (0–1)	39,997	2–3
April 10	@ Dodgers	2–0	Kile (1–1)	44,503	2–4
April 12	Padres	8–5 (11)	Veres (0–1)	48,073	2–5
April 15	Padres	6–4	Clement (0–2)	40,027	3–5
April 17	Braves	5–4	Rocker (1–1)	42,510	4–5
April 18	Braves	20–5	Astacio (0–2)	44,285	4–6
April 19	Expos	11–10	Urbina (1–1)	40,209	5–6
April 22	@ Giants	8–5	Rueter (1–1)	11,061	6–6
April 23	@ Giants	7–2	Kile (1–2)	16,271	6–7
April 24	@ Giants	8–4	Astacio (0–3)	26,626	6–8
April 25	@ Giants	7–6	DeJean (0–1)	23,099	6–9
April 27	@ Cardinals	7–5	Thomson (0–2)	32,389	6–10
April 28	@ Cardinals	9–7	Jiménez (2–1)	34,545	7–10
April 29	@ Cardinals	6–2	Mercker (2–1)	41,909	8–10
April 30	@ Pirates	7–2	Schourek (1–2)	17,466	9–10
