Model	Seats	Period	Built	Country
Fokker F27 Friendship	48-56	1958-1987	586	Netherlands
Antonov An-24	52	1959-1979	1367	Ukraine
Handley Page Dart Herald	56	1959-1968	50	United Kingdom
Hawker Siddeley HS 748	40-58	1962-1988	380	United Kingdom
NAMC YS-11	64	1962–1974	182	Japan
IAI Arava	20-24	1972–1988	80	Israel
Ilyushin Il-114	52-64	1997–present	14	Russia
de Havilland Canada Dash 7	50	1975-1988	113	Canada
Bombardier Dash 8 and Q400	37-78	1983–present	1110	Canada
ATR 42	42-50	1984-present	422	France & Italy
Fokker 50	58	1987-1997	213	Netherlands
BAe ATP	64	1988-1996	64	United Kingdom
CASA/IPTN CN-235	44	1988-present	230	Spain & Indonesia
ATR 72	68-74	1989-present	611	France & Italy
Antonov An-140	52	1997-present	28	Ukraine
MA60	66	2000 - present	41	People's Republic of China
