Genus/Species	Common Name	Accession Number	Length	Similarity	Identity
Rattus norvegicus	Rat	NP_001107252.1	208aa	99%	96%
Canis familiaris	Dog	XP_852505.1	208aa	98%	96%
Mus musculus	Mouse	NP_079943.2	208aa	96%	95%
Sus scrofa	Pig	XP_003127773.1	208aa	97%	94%
Equus caballus	Horse	XP_001917747.1	207aa	94%	93%
Gallus gallus	Chicken	XP_417729.1	182aa	90%	85%
Danio rerio	Zebrafish	NP_001013334.1	174aa	83%	71%
Anopheles gambiae	Mosquito	XP_320483.3	197aa	66%	53%
Drosophila melanogaster	Fruit Fly	NP_723362.1	196aa	74%	61%
Caenorhabditis elegans	Nematode	NP_494762.2	168aa	72%	55%
Phytophthora infestans	Late Blight	XP_002902629.1	186aa	59%	48%
Zea mays	Corn	NP_001144071.1	233aa	61%	44%
Oryza sativa	Rice	NP_001051577.1	204aa	61%	43%
Arabidopsis thaliana	Thall cress	NP_190673.1	231aa	55%	36%
