Rank	Municipality	Population (2010 Census)	Population (2005 Census)	Population (2000 Census)
1	Seoul	9,794,304	9,762,546	9,853,972
2	Busan	3,414,950	3,512,547	3,655,437
3	Incheon	2,662,509	2,590,863	2,466,338
4	Daegu	2,446,418	2,456,016	2,473,990
5	Daejeon	1,501,859	1,438,551	1,365,961
6	Gwangju	1,469,293	1,413,644	1,350,948
7	Ulsan	1,082,567	1,044,934	1,012,110
8	Suwon	1,071,913	1,039,233	944,239
9	Changwon	1,058,021	1,075,326	1,076,448
10	Seongnam	949,964	931,019	912,222
11	Goyang	905,076	864,402	762,598
12	Yongin	856,765	686,842	384,741
13	Bucheon	853,039	833,931	757,832
14	Ansan	728,775	669,839	554,998
15	Cheongju	666,924	640,631	585,622
16	Jeonju	649,728	622,092	615,804
17	Anyang	602,122	609,886	578,845
18	Cheonan	574,623	518,171	415,818
19	Namyangju	529,898	424,446	339,545
20	Pohang	511,390	488,433	515,187
21	Gimhae	494,510	428,893	330,829
22	Hwaseong	488,758	282,124	185,979
23	Uijeongbu	417,412	397,694	354,422
24	Siheung	407,090	384,304	304,260
25	Gumi	402,607	381,583	339,457
26	Jeju-si	401,192	391,132	366,809
27	Pyeongtaek	388,508	374,262	342,806
28	Jinju	337,896	336,355	339,413
29	Gwangmyeong	329,010	319,452	333,596
30	Paju	328,128	239,823	177,128
31	Wonju	311,449	283,583	267,849
32	Iksan	296,366	306,974	322,636
33	Asan	278,676	206,851	179,900
34	Gunpo	278,083	268,917	262,593
35	Chuncheon	276,232	260,234	252,177
36	Yeosu	269,937	277,420	303,115
37	Gyeongsan	266,036	240,371	226,713
38	Gunsan	260,546	249,212	263,845
39	Suncheon	258,670	261,519	265,724
40	Gyeongju	256,150	266,131	275,132
41	Yangsan	252,507	215,845	191,147
42	Mokpo	249,960	244,543	250,336
43	Geoje	231,271	193,398	167,231
44	Gwangju	228,747	204,266	124,789
45	Gimpo	224,350	192,716	148,576
46	Gangneung	218,471	220,706	227,856
47	Chungju	203,212	204,248	217,510
48	Icheon	195,175	187,514	179,081
49	Yangju	187,911	149,931	107,440
50	Guri	185,550	186,954	160,485
51	Osan	183,890	131,792	102,287
52	Anseong	179,782	157,632	132,906
53	Andong	166,197	169,436	181,974
54	Seosan	156,843	143,692	142,972
55	Uiwang	144,501	143,568	117,594
56	Dangjin	141,952	122,016	117,409
57	Pocheon	140,997	139,472	135,758
58	Hanam	138,829	121,646	120,149
59	Gwangyang	137,810	135,583	132,568
60	Jecheon	134,698	132,483	143,537
61	Seogwipo	130,713	139,554	145,732
62	Tongyeong	129,366	121,115	123,747
63	Gimcheon	127,889	135,166	147,269
64	Gongju	122,153	126,484	130,223
65	Nonsan	119,222	124,779	137,452
66	Jeongeup	110,352	115,416	128,892
67	Yeongju	108,888	113,670	126,415
68	Sacheon	107,524	106,532	110,912
69	Miryang	99,128	105,651	115,787
70	Sangju	98,103	105,600	116,365
71	Boryeong	97,770	96,992	109,423
72	Yeongcheon	95,256	103,289	110,918
73	Dongducheon	91,828	78,897	72,366
74	Donghae	90,574	93,018	96,280
75	Gimje	83,302	90,376	102,428
76	Sokcho	80,791	84,706	87,880
77	Namwon	78,770	85,828	94,810
78	Naju	78,679	86,823	99,233
79	Mungyeong	69,021	70,813	90,778
80	Samcheok	67,454	67,957	75,592
81	Gwacheon	66,704	56,587	66,592
82	Taebaek	51,558	55,241	54,164
83	Gyeryong	41,528	31,646	27,104
