Date	Tournament	Location	Purse( $ )	Winner	Score	1st Prize( $ )
Jan 12	Infiniti Senior Tournament of Champions	California	350000	Al Geiberger (7)	282 (-6)	52500
Feb 2	Royal Caribbean Classic	Florida	500000	Don Massengale (2)	205 (-8)	75000
Feb 9	Aetna Challenge	Florida	450000	Jimmy Powell (2)	197 (-19)	67500
Feb 16	GTE Suncoast Classic	Florida	450000	Jim Colbert (4)	200 (-13)	67500
Mar 8	GTE West Classic	California	450000	Bruce Crampton (19)	195 (-15)	67500
Mar 15	Vantage at The Dominion	Texas	400000	Lee Trevino (11)	201 (-15)	60000
Mar 22	Vintage ARCO Invitational	California	500000	Mike Hill (11)	203 (-13)	75000
Apr 5	The Tradition	Arizona	800000	Lee Trevino (12)	274 (-14)	120000
Apr 19	PGA Seniors' Championship	Florida	700000	Lee Trevino (13)	278 (-10)	100000
May 3	Las Vegas Senior Classic	Nevada	450000	Lee Trevino (14)	206 (-10)	67500
May 10	Murata Reunion Pro-Am	Texas	400000	George Archer (9)	211 (-5)	60000
May 17	Doug Sanders Kingwood Celebrity Classic	Texas	350000	Mike Hill (12)	134 (-10)	52500
May 24	Bell Atlantic Classic	Pennsylvania	550000	Lee Trevino (15)	205 (-5)	82500
May 31	NYNEX Commemorative	New York	400000	Dale Douglass (8)	133 (-7)	60000
Jun 7	PaineWebber Invitational	North Carolina	450000	Don Bies (6)	203 (-13)	67500
Jun 14	Mazda Presents The Senior Players Championship	Michigan	1000000	Dave Stockton (1)	277 (-11)	150000
Jun 28	Southwestern Bell Classic	Missouri	450000	Gibby Gilbert (1)	193 (-17)	67500
Jul 5	Kroger Senior Classic	Ohio	600000	Gibby Gilbert (2)	198 (-15)	90000
Jul 12	U.S. Senior Open	Pennsylvania	700000	Larry Laoretti (1)	275 (-9)	130000
Jul 19	Ameritech Senior Open	Illinois	500000	Dale Douglass (9)	201 (-15)	75000
Jul 26	Newport Cup	Rhode Island	400000	Jim Dent (7)	204 (-12)	60000
Aug 2	Northville Long Island Classic	New York	450000	George Archer (10)	205 (-11)	67500
Aug 9	Digital Seniors Classic	Massachusetts	500000	Mike Hill (13)	136 (-8)	75000
Aug 16	Bruno's Memorial Classic	Alabama	700000	George Archer (11)	208 (-8)	105000
Aug 23	GTE Northwest Classic	Washington	450000	Mike Joyce (1)	204 (-12)	67500
Aug 30	Franklin Showdown Classic	Utah	400000	Orville Moody (11)	137 (-7)	60000
Sep 6	First of America Classic	Michigan	400000	Gibby Gilbert (3)	202 (-11)	60000
Sep 13	Bank One Senior Classic	Kentucky	500000	Terry Dill (1)	203 (-11)	75000
Sep 20	GTE North Classic	Indiana	450000	Raymond Floyd (1)	199 (-17)	67500
Sep 27	Nationwide Championship	Georgia	800000	Isao Aoki (1)	136 (-8)	120000
Oct 4	Vantage Championship	North Carolina	1500000	Jim Colbert (5)	132 (-12)	202500
Oct 11	Raley's Senior Gold Rush	California	500000	Bob Charles (17)	201 (-15)	75000
Oct 18	Transamerica Senior Golf Championship	California	500000	Bob Charles (18)	200 (-16)	75000
Oct 25	Ralphs Senior Classic	California	600000	Raymond Floyd (2)	195 (-18)	90000
Nov 1	Kaanapali Classic	Hawaii	500000	Tommy Aaron (1)	198 (-15)	75000
Nov 8	Ko Olina Senior Invitational	Hawaii	500000	Chi Chi Rodriguez (21)	206 (-10)	75000
