Date	Tournament	Surface	Partnering	Opponent in the final	Score
1985	Stockholm , Sweden	Hard (i)	Andrés Gómez	Mike De Palmer Gary Donnelly	6–3, 6–4
1985	Wembley , England	Carpet	Anders Järryd	Boris Becker Slobodan Živojinović	7–5, 4–6, 7–5
1986	La Quinta , USA	Hard	Peter Fleming	Yannick Noah Sherwood Stewart	6–4, 6–3
1986	Metz , France	Carpet	Wojtek Fibak	Francisco González Michiel Schapers	2–6, 6–2, 6–4
1986	Monte Carlo , Monaco	Clay	Yannick Noah	Joakim Nyström Mats Wilander	6–4, 3–6, 6–4
1986	Rome , Italy	Clay	Yannick Noah	Mark Edmondson Sherwood Stewart	7–6, 6–2
1986	London/Queen's Club , England	Grass	Kevin Curren	Darren Cahill Mark Kratzmann	6–2, 7–6
1986	Basel , Switzerland	Hard (i)	Yannick Noah	Jan Gunnarsson Tomáš Šmíd	7–6, 6–4
1987	Lyon , France	Carpet	Yannick Noah	Kelly Jones David Pate	4–6, 6–3, 6–4
1987	Indian Wells , USA	Hard	Yannick Noah	Boris Becker Eric Jelen	6–4, 7–6
1987	Forest Hills , USA	Clay	Yannick Noah	Gary Donnelly Peter Fleming	4–6, 6–4, 6–1
1987	Rome , Italy	Clay	Yannick Noah	Miloslav Mečíř Tomáš Šmíd	6–2, 6–7, 6–3
1987	London/Queen's Club , England	Grass	Yannick Noah	Rick Leach Tim Pawsat	6–4, 6–4
1988	Indian Wells , USA	Hard	Boris Becker	Jorge Lozano Todd Witsken	6–4, 6–4
1988	Orlando , USA	Hard	Yannick Noah	Sherwood Stewart Kim Warwick	6–4, 6–4
1988	Nice , France	Clay	Henri Leconte	Heinz Günthardt Diego Nargiso	4–6, 6–3, 6–4
1990	Stuttgart Indoor , Germany	Carpet	Jakob Hlasek	Michael Mortensen Tom Nijssen	6–3, 6–2
1990	Indian Wells , USA	Hard	Boris Becker	Jim Grabb Patrick McEnroe	4–6, 6–4, 6–3
1990	Long Island , USA	Hard	Jakob Hlasek	Udo Riglewski Michael Stich	2–6, 6–3, 6–4
1990	Tokyo Indoor , Japan	Carpet	Jakob Hlasek	Scott Davis David Pate	7–6, 7–5
1990	Stockholm , Sweden	Carpet	Jakob Hlasek	John Fitzgerald Anders Järryd	6–4, 6–2
1990	Doubles Championships , Sanctuary Cove	Hard	Jakob Hlasek	Emilio Sánchez Sergio Casal	6–4, 7–6, 5–7, 6–4
1991	Bordeaux , France	Hard	Arnaud Boetsch	Patrik Kühnen Alexander Mronz	6–2, 6–2
1993	Indian Wells , USA	Hard	Henri Leconte	Luke Jensen Scott Melville	6–4, 7–5
1994	Halle , Germany	Grass	Olivier Delaître	Henri Leconte Gary Muller	6–4, 6–7, 6–4
1994	Long Island , USA	Hard	Olivier Delaître	Andrew Florent Mark Petchey	6–4, 7–6
1994	Bordeaux , France	Hard	Olivier Delaître	Diego Nargiso Guillaume Raoux	6–2, 2–6, 7–5
1995	Milan , Italy	Carpet	Boris Becker	Petr Korda Karel Nováček	6–2, 6–4
