Date	Track	Race	Finish	Fin. Time	Last 1/4	Driver	Trainer
22 August 2009	The Meadowlands	BREEDERS CROWN	2/1Q	1:47.1	26.1	David Miller	Dr Ian Moore
8 August 2009	The Meadowlands	US PACING	1/1T	1:47.4	26.2	David Miller	Dr Ian Moore
1 August 2009	The Meadowlands	INVITATIONAL	2/HD	1:48.4	26.3	David Miller	Dr Ian Moore
25 July 2009	The Meadowlands	NW26500L5	1/NK	1:49.3	28.1	David Miller	Dr Ian Moore
19 July 2009	Chester	BEN FRANKLIN E	5/1H	1:49.2	26.2	David Miller	Dr Ian Moore
11 July 2009	Mohawk	OPEN	2/2Q	1:50.1	27.4	Jason Brewer	Dr Ian Moore
28 June 2009	Rideau Carlton	DES SMITH	SCRATCH - Judges	SCRATCH - Judges	SCRATCH - Judges	SCRATCH - Judges	SCRATCH - Judges
26 June 2009	Mohawk	QUA	1/7Q	1:52.0	28.0	Paul MacDonell	Dr Ian Moore
20 June 2009	Mohawk	PREFERRED	SCRATCH - Vet (Sick)	SCRATCH - Vet (Sick)	SCRATCH - Vet (Sick)	SCRATCH - Vet (Sick)	SCRATCH - Vet (Sick)
22 May 2009	Western Fair	MOLSON PACE E	5/12H	1:54.4	30.3	David Miller	Dr Ian Moore
10 May 2009	Mohawk	4YR OPEN	1/H	1:51.1	27.1	David Miller	Dr Ian Moore
2 May 2009	Charlottetown	QUA	1	1:53.4	28.0	David Miller	Dr Ian Moore
29 November 2008	The Meadowlands	BREEDERS CROWN F	2/1T	1:49.0	26.4	David Miller	Dr Ian Moore
22 November 2008	The Meadowlands	BREEDERS CROWN E	1/1Q	1:51.4	26.0	David Miller	Dr Ian Moore
1 November 2008	Balmoral Park	AMERICAN NATIONAL	1/1	1:49.3	26.1	David Miller	Dr Ian Moore
25 October 2008	Yonkers	MESSENGER	2/NK	1:52.1	27.4	David Miller	Dr Ian Moore
10 October 2008	Maywood Park	WINDY CITY	1/HD	1:50.4	27.2	David Miller	Dr Ian Moore
18 September 2008	Delaware County Fair	LITTLE BROWN JUG F	1/6Q	1:50.1	26.2	David Miller	Dr Ian Moore
18 September 2008	Delaware County Fair	LITTLE BROWN JUG E	1/1H	1:50.0	26.2	David Miller	Dr Ian Moore
30 August 2008	Mohawk	NW30000L6CD	2/NS	1:50.3	27.4	David Miller	Dr Ian Moore
17 August 2008	Flamboro	CONFED CUP F	5/8H	1:51.0	27.4	David Miller	Dr Ian Moore
17 August 2008	Flamboro	CONFED CUP E	1/2	1:50.2	27.3	David Miller	Dr Ian Moore
9 August 2008	Pocono	ADIOS F	1/H	1:50.4	29.4	David Miller	Mark Ford
1 August 2008	Pocono	ADIOS E	1/2	1:48.2	28.1	David Miller	Mark Ford
25 July 2008	The Meadows	PASS 3YOC&G	5/6	1:52.2	29.3	David Miller	Mark Ford
19 July 2008	Pocono	NW11500L4	1/1T	1:49.4	27.2	Tim Tetrick	Mark Ford
8 July 2008	Pocono	REYNOLDS 3YOC	1/1Q	1:50.1	27.1	David Miller	Mark Ford
1 July 2008	Pocono	PASS 3YOC	3/2T	1:50.0	29.0	David Miller	Mark Ford
21 June 2008	Mohawk	NW3R50000LCD	1/8Q	1:50.2	26.1	Tim Tetrick	Dr Ian Moore
14 June 2008	Mohawk	NA CUP C	7/12T	1:52.0	28.2	Rick Zeron	Dr Ian Moore
7 June 2008	Mohawk	NA CUP E	8/11T	1:51.2	27.3	Rick Zeron	Dr Ian Moore
31 May 2008	Mohawk	BURLINGTON	5/7Q	1:53.0	28.3	Rick Zeron	Dr Ian Moore
17 May 2008	Pocono	MAX HEMPT E	6/8	1:52.4	29.3	Tim Tetrick	Dr Ian Moore
10 May 2008	Mohawk	DIPLOMAT	4/4H	1:52.1	28.3	Rick Zeron	Dr Ian Moore
3 May 2008	Mohawk	DIPLOMAT	1/T	1:54.2	27.0	Rick Zeron	Dr Ian Moore
26 April 2008	Woodbine	DIPLOMAT	1/2H	1:52.1	28.1	Rick Zeron	Dr Ian Moore
19 April 2008	Charlottetown	NW1901L5CD	1/13	1:56.0	28.2	Dr Ian Moore	Dr Ian Moore
12 April 2008	Charlottetown	QUA	1/14	1:58.0	27.2	Dr Ian Moore	Dr Ian Moore
28 October 2007	Flamboro	NW2R18500L	2/1Q	1:57.0	29.3	Dr Ian Moore	Dr Ian Moore
20 October 2007	Woodbine	GOV CUP	7/9T	1:53.4	27.3	Paul MacDonell	Dr Ian Moore
23 September 2007	Mohawk	NW2R30000LCD	3/T	1:54.2	28.4	Mark MacDonald	Dr Ian Moore
15 September 2007	Mohawk	NASAGAWEYA	8/12T	1:55.2	30.3	Mark MacDonald	Dr Ian Moore
1 September 2007	Mohawk	METRO F	6/9T	1:51.3	28.2	Mark MacDonald	Dr Ian Moore
25 August 2007	Mohawk	METRO E	3/4	1:53.0	28.1	Mark MacDonald	Dr Ian Moore
19 August 2007	Mohawk	NW2R22000LCD	3/1	1:53.1	27.2	Paul MacDonell	Dr Ian Moore
6 August 2007	Mohawk	DREAM MAKER	4/2Q	1:54.1	28.1	Paul MacDonell	Dr Ian Moore
30 July 2007	Mohawk	DREAM MAKER	2/1T	1:53.4	30.0	Dr Ian Moore	Dr Ian Moore
23 July 2007	Mohawk	DREAM MAKER	2/Q	1:54.0	27.4	Paul MacDonell	Dr Ian Moore
15 July 2007	Mohawk	2YR-C-COND	1/H	1:57.2	27.3	Dr Ian Moore	Dr Ian Moore
30 June 2007	Charlottetown	NW2RLFTCD	1/4H	1:58.0	28.1	Dr Ian Moore	Dr Ian Moore
21 June 2007	Charlottetown	NW1RLFT	1/4H	2:02.3	29.4	Dr Ian Moore	Dr Ian Moore
14 June 2007	Charlottetown	QUA	1/5H	2:03.1	29.2	Dr Ian Moore	Dr Ian Moore
