Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	BRM	100	2:33:10.5	3
Lorenzo Bandini	Ferrari	100	+ 40.2	5
Graham Hill	BRM	99	+ 1 lap	4
Bob Bondurant	BRM	95	+ 5 laps	16
Richie Ginther	Cooper - Maserati	80	Transmission	9
Guy Ligier	Cooper - Maserati	75	Not Classified	15
Jo Bonnier	Cooper - Maserati	73	Not Classified	16
Jim Clark	Lotus - Climax	60	Suspension	1
Jochen Rindt	Cooper - Maserati	56	Engine	7
Jo Siffert	Brabham - BRM	35	Clutch	13
Mike Spence	Lotus - BRM	34	Suspension	12
Jack Brabham	Brabham - Repco	17	Gearbox	11
John Surtees	Ferrari	16	Transmission	2
Denny Hulme	Brabham - Climax	15	Transmission	6
Bruce McLaren	McLaren - Ford	9	Oil Leak	10
Bob Anderson	Brabham - Climax	3	Engine	8
