Rnd	Circuit	Sports +2.0 Winning Team	Sports 2.0 Winning Team	GT +2.0 Winning Team	GT 2.0 Winning Team	Results
1	Augusta	#97 Shelby American	#77 Scuderia TinCan	#15 Shelby American	Porsche	Results
1	Augusta	Dave MacDonald	Charlie Hayes	Ken Miles	Bruce Jennings	Results
2	Pensacola	#66 Chaparral Cars	Lotus	#14 Shelby American	Lotus - Ford	Results
2	Pensacola	Jim Hall	Ed Hugus	Ken Miles	John Whitmore	Results
3	Riverside	#9 Nickey Chevrolet	Frank Arciero	#50 Shelby American	Porsche	Results
3	Riverside	Skip Hudson	Bobby Unser	Ken Miles	Scooter Patrick	Results
4	Laguna Seca	#366 Chaparral Cars	#77 Scuderia TinCan	Shelby	Porsche	Results
4	Laguna Seca	Jim Hall	Charlie Hayes	Ed Leslie	Don Wester	Results
5	Kent	#14 Shelby American	Lotus - Climax	#50 Shelby American	Porsche	Results
5	Kent	Dave MacDonald	Tony Settember	Ken Miles	Don Wester	Results
6	Watkins Glen	#66 Chaparral Cars	#71 Scuderia TinCan	#98 Shelby American	Stoddard Racing Team	Results
6	Watkins Glen	Jim Hall	Charlie Hayes	Ken Miles	Chuck Stoddard	Results
7	Greenwood	#96 Shelby American	#71 Ed Wechsler	#98 Shelby American	#15 Alan Mann	Results
7	Greenwood	Ed Leslie	Bill Wuesthoff	Ken Miles	John Whitmore	Results
8	Medowdale	#66 Chaparral Cars	#7 Robert Bosch	#98 Shelby American	Stoddard Racing Team	Results
8	Medowdale	Jim Hall	Joe Buzzetta	Ken Miles	Chuck Stoddard	Results
9	Mid-Ohio	#67 Chaparral Cars	#71 Robert Bosch	#99 Shelby American	#17 Robert Bosch	Results
9	Mid-Ohio	Hap Sharp	Bill Wuesthoff	Bob Johnson	Bill Wuesthoff	Results
10	Road America	#2 Mecom Racing Team	#79 Edward Weschler, Jr.	#99 Shelby American	#5 Stoddard Racing Team	Results
