Island	Country	Population	Area km²	Density (per km²)
Santa Cruz del Islote	Colombia	1,247 (2007)	0.012	103,917
Ap Lei Chau (Aberdeen Island)	Hong Kong	86,782 (2007)	1.32	66,755
Migingo Island	Kenya	131 (2009)	0.002	65,500
Fadiouth	Senegal	9,000 (2007)	0.15	60,000
Malé	Maldives	92,555 (2006)	1.952	47,416
Ebeye	Marshall Islands	15,000 (2009)	0.360	41,667
Ilha de Moçambique	Mozambique	54,315 (2005)	1.5	36,210
Manhattan ( New York City )	United States	1,634,795 (2008)	59.47	27,489
Salsette Island ( Mumbai )	India	15,111,974 (2011)	619	24,414
Île Saint-Louis ( Paris )	France	2,465 (2007)	0.11	22,409
Arwad	Syria	4,403 (2004)	0.2	22,015
Lilla Essingen ( Stockholm )	Sweden	4,647 (2009)	0.23	20,204
Tsing Yi	Hong Kong	200,400 (2007)	10.69	18,746
Vasilyevsky Island ( Saint Petersburg )	Russia	202,650 (2002)	10.9	18,592
Djarrit	Marshall Islands	7,103 (1999)	0.389	18,260
Södermalm (Stockholm)	Sweden	99,685 (2008)	5.71	17,458
Hong Kong Island	Hong Kong	1,289,500 (2008)	80.4	16,038
Sisak Island (Sisak	Croatia	15,897 (2011)	1.1	15,897
Roosevelt Island (New York City)	United States	9,520 (2000)	0.6	15,867
Reimersholme (Stockholm)	Sweden	2,324 (2006)	0.16	14,525
Kungsholmen (Stockholm)	Sweden	56,754 (2007)	3.91	14,515
Lübeck Old Town	Germany	approx. 12,000	1.00	approx. 12,000
Venice Center	Italy	approx. 60,000	5.00	approx. 12,000
Ma Wan	Hong Kong	11,193 (2007)	0.96	11,659
Xiamen Island	China	1,410,000 (est)	132.5	10,650
Anping Island	Taiwan	60,000 (est)	6 (est)	10,000
Cheung Chau	Hong Kong	23,156 (2007)	2.46	9,413
Portsea Island ( Portsmouth )	United Kingdom	approx. 147,000 (est)	16	approx. 9,187
Stadsholmen (Stockholm)	Sweden	approx. 3,000 (2006)	0.36	approx. 8,300
Katajanokka ( Helsinki )	Finland	4,167 (2005)	0.57	7,244
Pulau Ujong (Singapore Island)	Singapore	4,987,600 (2009)	710.2	6,814
Isola dei Pescatori	Italy	208 (1971)	0.034	6,118
Cijin Island	Taiwan	30,000 (2010)	5 (est)	6,000
Peng Chau	Hong Kong	5,300 (est)	0.99	5,354
Stora Essingen (Stockholm)	Sweden	3,892 (2006)	0.73	5,332
Lauttasaari (Helsinki)	Finland	19,644 (2008)	3.75	5,238
Governador Island (Rio de Janeiro)	Brazil	212,547 (2010)	40.81	5,209
Lindau	Germany	3,000 (2008)	0.68	4,412
Nuns' Island ( Montréal )	Canada	16,210 (2006)	3.74	4,334
Island of Montreal (Montréal)	Canada	1,854,442 (2006)	499	3,716
Yeouido	South Korea	31,000 (2006)	8.4	3,700
Long Beach Barrier Island	United States	39,282 (2010)	11.7	3,350
Lidingö (outside Stockholm)	Sweden	44,000 (2011)	12.54	3,300
Staten Island (New York City)	United States	468,730 (2010)	151.5	3,093
Tammisalo (Helsinki)	Finland	2,183 (2005)	0.73	2,990
Penang Island	Malaysia	860,000 (2010)	293	2,935
Kotlin Island (including Kronstadt )	Russia	42,800 (2006)	16	2,675
Majuro	Marshall Islands	25,400 (2004)	9.7	2,619
San Andrés	Colombia	67,912 (2007)	26	2,612
Long Island (New York)	United States	7,568,304 (2010)	3,629	2,086
Kulosaari (Helsinki)	Finland	3,770 (2004)	1.81	2,083
Paquetá Island (Rio de Janeiro)	Brazil	3,361 (2010)	1.7	1,970
Frauenchiemsee , Bavaria	Germany	300 (2008)	0.155	1,935
Liouciou Island	Taiwan	12,600 (2010)	6.8	1,850
Amager	Denmark	160,030 (2008)	96.3	1,662
Bahrain	Bahrain	1,234,571 (2010)	765.3	1,626
Key West	United States	24,649 (2010)	15.4	1,600
New Providence	Bahamas	248,948 (2010)	207	1,594
Malta Island	Malta	388,232 (2007)	246	1,578
Tromsøya ( Tromsø )	Norway	33,668 (2008)	22.79	1,503
Lehtisaari (Helsinki)	Finland	1,148 (2008)	0.79	1,453
Lulu Island ( Richmond )	Canada	168,162 (2006)	120	1,401
Kuusisaari (Helsinki)	Finland	588 (2008)	0.40	1,395
Île Jésus ( Laval )	Canada	400,000 (2010)	245	1,384
Smögen	Sweden	1,437 (2005)	1.04	1,381
Öckerö	Sweden	3,269 (2005)	2.39	1,368
Mercer Island	United States	22,699 (2010)	34.0	1,333
Île de la Cité (Paris)	France	1,168 (2007)	0.9	1,297
Labuan	Malaysia	100,000 (2010)	85	1,177
Capri	Italy	12,200 (2002)	10.4	1,170
Okinawa Island	Japan	1,384,762 (2009)	1,207.87	1,146
Penghu Island	Taiwan	70,200 (2010)	64	1,100
Java	Indonesia	130,000,000 (2006)	132,187	1,026
