Year	Team	Co-Drivers	Class	Laps	Pos.	Class Pos.
1996	West Competition David Price Racing	John Nielsen Thomas Bscher	GT1	338	4th	3rd
1997	Team BMW Motorsport BMW Team Schnitzer	Roberto Ravaglia Eric Hélary	GT1	358	3rd	2nd
1999	Konrad Motorsport Talkline Racing for Holland	Jan Lammers Tom Coronel	LMP	213	DNF	DNF
2000	Konrad Motorsport Racing for Holland	Jan Lammers Tom Coronel	LMP900	38	DNF	DNF
2002	Spyker Automobielen	Norman Simon Hans Hugenholtz	GT	142	DNF	DNF
2003	Veloqx Prodrive Racing	Tomáš Enge Jamie Davies	GTS	336	10th	1st
2004	Prodrive Racing	Alain Menu Tomáš Enge	GTS	325	11th	4th
2005	Aston Martin Racing	Pedro Lamy Tomáš Enge	GT1	327	DNF	DNF
2006	Convers MenX Team	Alexey Vasilyev Robert Pergl	GT1	196	DNF	DNF
2007	Aston Martin Racing	Johnny Herbert Tomáš Enge	GT1	337	9th	4th
2008	IPB Spartak Racing Reiter Engineering	Mike Hezemans Roman Rusinov	GT1	266	NC	NC
2009	Aston Martin Racing	Stuart Hall Harold Primat	LMP1	252	DNF	DNF
2010	Young Driver AMR	Tomáš Enge Christoffer Nygaard	GT1	311	22nd	3rd
