Place	Player	Country	Score	To par	Money ( $ )
1	Inbee Park	South Korea	72-69-71-71=283	–9	585,000
2	Helen Alfredsson	Sweden	70-71-71-75=287	–5	350,000
T3	Angela Park	Brazil United States	73-67-75-73=288	–4	162,487
T3	In-Kyung Kim	South Korea	71-73-69-75=288	–4	162,487
T3	Stacy Lewis	United States	73-70-67-78=288	–4	162,487
T6	Giulia Sergas	Italy	73-74-72-70=289	–3	94,117
T6	Nicole Castrale	United States	74-70-74-71=289	–3	94,117
T6	Mi Hyun Kim	South Korea	72-72-70-75=289	–3	94,117
T6	Paula Creamer	United States	70-72-69-78=289	–3	94,117
T10	Teresa Lu	Taiwan	71-72-73-74=290	–2	75,734
T10	Mariajo Uribe (a)	Colombia	69-74-72-75=290	–2	0
