Date	Time	Score	Set 1	Set 2	Set 3	Total	Report
22 May	11:00	3–0	25–20	25–20	28–26	78–66	P2
22 May	13:00	0–3	19–25	23–25	22–25	64–75	P2
22 May	15:00	0–3	18–25	28–30	26–28	72–83	P2
22 May	18:00	0–3	14–25	15–25	18–25	47–75	P2
23 May	11:00	3–0	25–18	25–21	25–16	75–55	P2
23 May	13:00	3–0	25–22	25–23	25–21	75–66	P2
23 May	15:00	0–3	17–25	22–25	16–25	55–75	P2
23 May	18:00	2–3	25–27	25–20	22–25	113–112	P2
25 May	11:00	3–1	25–16	25–23	31–33	106–94	P2
25 May	13:10	0–3	16–25	13–25	16–25	45–75	P2
25 May	15:00	3–0	25–13	25–16	25–21	75–50	P2
25 May	18:00	3–2	21–25	25–17	25–14	105–94	P2
26 May	11:00	3–0	25–21	38–36	25–21	88–78	P2
26 May	13:00	3–0	25–19	25–19	26–24	76–62	P2
26 May	15:00	0–3	21–25	15–25	19–25	55–75	P2
26 May	18:01	2–3	22–25	29–27	25–18	109–110	P2
28 May	11:00	1–3	21–25	15–25	25–21	80–96	P2
28 May	13:00	0–3	31–33	19–25	21–25	71–83	P2
28 May	15:00	3–0	25–15	25–16	25–15	75–46	P2
28 May	18:00	3–0	25–15	25–17	27–25	77–57	P2
29 May	11:00	0–3	17–25	18–25	13–25	48–75	P2
29 May	13:00	3–1	25–21	21–25	25–22	96–86	P2
29 May	15:00	3–0	25–21	25–20	25–19	75–60	P2
29 May	18:00	2–3	23–25	25–21	18–25	103–107	P2
30 May	11:00	3–0	25–19	26–24	25–23	76–66	P2
30 May	13:00	3–0	25–22	25–19	25–17	75–58	P2
30 May	15:00	3–0	25–16	25–11	25–13	75–40	P2
30 May	18:00	0–3	20–25	21–25	23–25	64–75	P2
