Incident No.	Date	Place	Killed	Injured
1	2 January	West Midnapore, West Bengal	0	0
2	2 January	Malkangiri, Odisha	0	0
3	11 January	East Champaran, Bihar	0	0
4	18 January	Jehanabad, Bihar	0	0
5	18 January	Lohardaga, Jharkhand	0	0
6	20 January	Malkangiri, Odisha	0	0
7	21 January	Palamu, Jharkhand	0	0
8	24 January	Gadchiroli, Maharashtra	0	0
9	25 January	Sundargarh, Odisha	0	0
10	1 February	Bankura, West Bengal	2	10
11	15 February	West Midnapore, West Bengal	25	0
12	17 February	Jamui, Bihar	12	0
13	23 March	Gaya, Bihar	2	0
14	23 March	Sitamarhi, Bihar	0	6
15	23 March	Nawada, Bihar	0	2
16	23 March	Malkangiri, Odisha	0	0
17	24 March	Saran, Bihar	0	0
18	25 March	West Midnapore,West Bengal	0	0
19	26 March	Rohtas, Bihar	0	0
20	29 March	Kaimur, Bihar	0	0
21	2 April	Gaya, Bihar	0	0
22	6 April	Dantewada, Chhattisgarh	75	0
23	7 April	Darbhanga, Bihar	0	0
24	8 April	Rohtas, Bihar	2	0
25	20 April	Dantewada, Chhattisgarh	0	0
26	24 April	Munger, Bihar	0	0
27	1 May	Koraput, Odisha	0	0
28	7 May	Malkangiri, Odisha	0	0
29	18 May	Aurangabad, Bihar	0	0
30	20 May	West Champaran, Bihar	0	0
31	21 May	Sheohar, Bihar	5	1
32	22 May	Patna, Bihar	2	0
33	6 June	Bijapur, Chhattisgarh	0	0
34	14 June	Gaya, Bihar	0	0
35	14 June	Rohtas, Bihar	0	0
36	29 June	Narayanpur, Chhattisgarh	27	0
37	1 July	East Champaran, Bihar	0	0
38	6 July	Malkangiri, Odisha	0	0
39	7 July	Keonjhar, Odisha	0	0
40	8 July	West Midnapore, West Bengal	0	0
41	8 July	Dantewada, Chhattisgarh	3	2
42	10 July	Malkangiri, Odisha	0	0
43	11 July	Kaimur, Bihar	0	0
44	11 July	Dantewada, Chhattisgarh	0	0
45	14 July	Mayurbhanj, Odisha	1	0
46	17 July	Malkangiri, Odisha	1	0
47	19 July	Dantewada, Chhattisgarh	0	0
48	20 July	Purulia, West Bengal	2	0
49	6 August	Sundergarh, Odisha	0	0
50	13 August	West Midnapore, West Bengal	0	0
51	15 August	Dantewada, Chhattisgarh	0	0
52	28 August	Saran, Bihar	0	0
53	29 August	Kanker, Chhattisgarh	5	1
54	29 August	Lakhisarai, Bihar	7	7
55	9 September	Gaya, Bihar	0	0
56	9 September	Malkangiri, Odisha	0	0
57	25–26 September	West Linghbhum, Jharkhand	6	0
58	26 September	Visakhapatnam, Andhra Pradesh	2	0
59	1 October	Rohtas, Bihar	0	0
60	3 October	Purulia, West Bengal	3	0
61	4 October	Malkangiri, Odisha	0	0
62	6 October	Sonebhadra, Uttar Pradesh	0	0
63	9 October	Mahasamund, Chhattisgarh	8	0
64	12 October	Bijapur, Chhattisgarh	2	0
65	14 October	Malkangiri, Odisha	0	0
66	20 October	Gumla, Jharkhand	2	0
67	24 October	Saran, Bihar	0	0
68	31 October	Hazaribagh, Jharkhand	0	0
69	8 November	Muzaffarpur, Bihar	0	0
70	9 November	Gaya, Bihar	0	0
71	9 November	Gaya, Bihar	0	0
72	14 November	Rohtas, Bihar	1	0
73	19 November	Visakhapatnam, Andhra Pradesh	0	0
74	25 November	Aurangabad, Bihar	0	0
75	2 December	Jehanabad, Bihar	0	0
76	8–9 December	Koraput, Odisha	1	0
77	9 December	Sundargarh, Odisha	2	0
78	17 December	Visakhapatnam, Andhra Pradesh	4	0
79	21 December	Gajapati, Odisha	0	0
80	27 December	Bargarh, Odisha	2	0
81	29 December	Gadchiroli, Maharashtra	0	0
Total	Total	Total	204	29
