Division	Team	City	Home arena *	Capacity	Joined NT/ET
North	Oulun Kärpät	Oulu	Oulun Energia Areena	6,614	2006
North	Eisbären Berlin	Berlin	O2 World	14,200	2010
North	Red Bull Salzburg	Salzburg	Eisarena Salzburg	3,600	2010
North	Luleå HF	Luleå	Coop Arena	6,200	2011
North	Kometa Brno	Brno	Kajot Arena	7,200	2011
North	Mountfield České Budějovice	České Budějovice	Budvar Arena	6,421	2011
North	HC Plzeň	Plzeň	ČEZ Aréna	8,420	2011
North	Hamburg Freezers	Hamburg	O2 World	12,947	2012
South	Linköpings HC	Linköping	Cloetta Center	8,500	2006
South	HV71	Jönköping	Kinnarps Arena	7,038	2008
South	Sparta Praha	Prague	Tipsport Arena	13,150	2010
South	Piráti Chomutov	Chomutov	Multifunkční aréna Chomutov	5,250	2012
South	KalPa	Kuopio	Kuopion Jäähalli	5,225	2011
South	Slovan Bratislava	Bratislava	Slovnaft Arena	10,000	2011
South	UPC Vienna Capitals	Vienna	Albert Schultz Eishalle	7,000	2011
South	JYP	Jyväskylä	Synergia-areena	4,628	2012
East	TPS	Turku	HK Arena	11,820	2006
East	Tappara	Tampere	Hakametsä Areena	7,800	2006
East	Djurgårdens IF	Stockholm	Hovet	8,094	2006
East	SC Bern	Bern	PostFinance-Arena	17,131	2010 **
East	Bílí Tygři Liberec	Liberec	Tipsport Arena	7,500	2011
East	ČSOB Pojišťovna Pardubice	Pardubice	ČEZ Aréna	10,194	2011
East	Brynäs IF	Gävle	Läkerol Arena	8,585	2012
East	HC Fribourg-Gottéron	Fribourg	BCF Arena	6,900	2012
West	Färjestad BK	Karlstad	Löfbergs Lila Arena	8,647	2006
West	Frölunda Indians	Gothenburg	Scandinavium	12,044	2006
West	HIFK	Helsinki	Helsinki Ice Hall	8,200	2006
West	Jokerit	Helsinki	Hartwall Areena	13,349	2008
West	ZSC Lions	Zurich	Hallenstadion	10,700	2010 **
West	Adler Mannheim	Mannheim	SAP Arena	10,600	2010
West	ERC Ingolstadt	Ingolstadt	Saturn Arena	4,815	2012
West	EV Zug	Zug	Bossard Arena	7,015	2012
