Player	Position	League Cup	Scottish Cup	UEFA Champions League	Total
Scott McDonald	Forward	1	1	1	19
Georgios Samaras	Forward	2	0	0	17
Shunsuke Nakamura	Midfielder	1	0	0	9
Scott Brown	Midfielder	1	1	0	7
Aiden McGeady	Midfielder	2	1	1	7
Jan Vennegoor of Hesselink	Forward	0	0	0	6
Shaun Maloney	Midfielder	0	0	1	5
Cillian Sheridan	Forward	0	0	0	4
Stephen McManus	Defender	0	0	0	4
Glenn Loovens	Defender	1	0	0	4
Paul Hartley	Midfielder	0	0	0	3
Gary Caldwell	Defender	0	1	0	3
Barry Robson	Midfielder	0	0	1	2
Darren O'Dea	Defender	1	0	0	2
Koki Mizuno	Defender	0	0	0	1
Marc Crosas	Defender	0	0	0	1
Lee Naylor	Defender	0	0	0	1
