Date	Visitor	Score	Home	Decision	Attendance	Record
December 1	Washington	2 – 1	Florida	Vokoun	14,333	12–14–1
December 5	Ottawa	5 – 4	Florida	Anderson	11,289	12–15–1
December 7	NY Islanders	0 – 3	Florida	Vokoun	14,502	13–15–1
December 11	Calgary	2 – 1	Florida	Vokoun	12,499	13–15–2
December 13	Florida	1 – 0	St. Louis	Vokoun	14,088	14–15–2
December 15	Florida	2 – 5	Detroit	Vokoun	20,066	14–16–2
December 16	Florida	3 – 1	Chicago	Vokoun	12,926	15–16–2
December 18	Florida	3 – 2	Montreal	Vokoun	21,273	16–16–2
December 20	Carolina	4 – 5	Florida	Vokoun	15,061	17–16–2
December 22	Toronto	2 – 1	Florida	Vokoun	18,500	17–16–3
December 27	Florida	5 – 3	Atlanta	Vokoun	16,080	18–16–3
December 28	Montreal	5 – 1	Florida	Vokoun	19,838	18–17–3
December 30	Philadelphia	1 – 0	Florida	Vokoun	18,767	18–18–3
