School	Locality	Ages	Capacity	Ofsted
Bramhall High School	Bramhall	11-16	1594	106139
Cheadle Hulme High School	Cheadle Hulme	11-16	1379	106140
Harrytown Catholic High School	Romiley	11-16	804	106143
Hazel Grove High School	Hazel Grove	11-16	1293	106137
Marple Hall School	Marple	11-16	1711	106138
Offerton School	Offerton	11-16	1134	106132
Priestnall School	Heaton Mersey	11-16	1206	106133
Reddish Vale Technology College	Reddish	11-16	1392	106134
St Anne's Roman Catholic High School	Heaton Chapel	11-16	730	106144
St James' Catholic High School	Cheadle Hulme	11-16	727	106142
Stockport Academy	Cheadle Heath	11-18	1050	135262
Stockport School	Heaviley	11-16	1081	106135
The Kingsway School	Cheadle/ Gatley	11-16	1677	106141
Werneth School	Romiley	11-16	1439	106136
