Date	Time	Home	Geust	Result
14.09.07	19:30	FC Biel Bienne (1.L)	Yverdon-Sport FC (ChL)	5:6 nP
14.09.07	20:00	FC Baulmes (1.L)	SR Delémont (ChL)	2:1
14.09.07	20:00	FC Wettingen 93 (2.L)	SC Kriens (ChL)	1:3
14.09.07	20:00	Racing Club GE (2.L)	FC La Chaux-de-Fonds (ChL)	4:1
15.09.07	14:30	FC Bazenheid (2.L)	AC Bellinzona (ChL)	0:7
15.09.07	15:30	FC Echallens (1.L)	FC Lausanne-Sport (ChL)	0:3
15.09.07	16:00	FC Red Star Zürich (1.L)	FC Winterthur (ChL)	0:5
15.09.07	16:00	FC Seefeld ZH (2.L)	Grasshoppers Club Zürich (ASL)	0:4
15.09.07	16:00	FC Versoix (2.L)	Stade Nyonnais (1.L)	0:5
15.09.07	16:00	FC Winkeln SG (2.L)	FC Gossau (ChL)	2:6
15.09.07	16:30	FC Herrliberg (3.L)	FC Zürich (ASL)	0:6
15.09.07	16:30	SC Düdingen (2.L)	FC Concordia BS (ChL)	1:3 nV
15.09.07	17:00	FC Bern (2.L)	FC Langenthal (2.L)	1:2
15.09.07	17:00	FC Orpund (2.L)	SC Binningen (2.L)	1:2
15.09.07	17:00	FC Sarnen (2.L)	FC Aarau (ASL)	1:7
15.09.07	17:00	SC Brühl SG (2.L)	FC Schaffhausen (ChL)	4:6
15.09.07	17:30	FC Baden (2.L)	FC Locarno (ChL)	1:2
15.09.07	17:30	FC Le Mont LS (2.L)	Neuchâtel Xamax (ASL)	0:2
15.09.07	17:30	FC Töss (2.L)	FC St. Gallen (ASL)	0:8
15.09.07	17:30	FC UGS (2.L)	FC Sion (ASL)	0:7
15.09.07	18:00	FC Flawil (2.L)	FC Wil 1900 (ChL)	2:3
15.09.07	18:00	FC Stade LS Ouchy (2.L)	Servette FC (ChL)	0:4
15.09.07	19:00	FC Hägendorf (2.L)	SC Cham (ChL)	1:5
15.09.07	19:00	FC Massongex (2.L)	Etoile-Carouge FC (1.L)	0:5
16.09.07	15:00	FC Bavois (2.L)	BSC Young Boys (ASL)	1:3
16.09.07	15:00	FC Léchelles (2.L)	FC Basel (ASL)	0:9
16.09.07	15:00	FC Porrentruy (2.L)	FC Thun (ASL)	0:4
16.09.07	15:30	FC Lusitanos (2.L)	FC Colombier (2.L)	0:6
16.09.07	15:30	GC Biaschesi (2.L)	FC Luzern (ASL)	1:3
16.09.07	16:00	AC Malcantone (2.L)	FC Wohlen (ChL)	0:4
16.09.07	16:00	ASC Gordola (2.L)	FC Chiasso (ChL)	1:5
16.09.07	16:00	FC Tuggen (2.L)	AC Lugano (ChL)	2:4 nP
