Year	Pick	Player name	College	Position
1960	—	Abner Haynes	North Texas State	RB
1961	—	E.J. Holub	Texas Tech	C
1962	—	Ronnie Bull	Baylor	RB
1963	—	Buck Buchanan	Grambling	DT
1963	—	Ed Budde	Michigan State	OT
1964	—	Pete Beathard	Southern California	QB
1965	—	Gale Sayers	Kansas	RB
1966	—	Aaron Brown	Minnesota	DE
1967	24	Gene Trosch	Miami	DT
1968	19	Mo Moorman	Texas A&M	G
1968	22	George Daney	Texas-El Paso	G
1969	23	Jim Marsalis	Tennessee State	CB
1970	26	Sid Smith	Southern California	OT
1971	16	Elmo Wright	Houston	WR
1972	23	Jeff Kinney	Nebraska	RB
1973	—	— No pick	—	—
1974	16	Woody Green	Arizona State	RB
1975	—	— No pick	—	—
1976	14	Wayne Walters	Iowa	G
1977	10	Gary Green	Baylor	CB
1978	2	Art Still	Kentucky	DE
1979	2	Mike Bell	Colorado State	DE
1979	23	Steve Fuller	Clemson	QB
1980	11	Brad Budde	Southern California	G
1981	14	Willie Scott	South Carolina	TE
1982	11	Anthony Hancock	Tennessee	WR
1983	7	Todd Blackledge	Penn State	QB
1984	5	Bill Maas	Pittsburgh	DT
1984	21	John Alt	Iowa	OT
1985	15	Ethan Horton	North Carolina	RB
1986	7	Brian Jozwiak	West Virginia	OT
1987	19	Paul Palmer	Temple	RB
1988	2	Neil Smith	Nebraska	DE
1989	4	Derrick Thomas	Alabama	LB
1990	13	Percy Snow	Michigan State	LB
1991	21	Harvey Williams	Louisiana State	RB
1992	20	Dale Carter	Tennessee	CB
1993	—	— No pick	—	—
1994	25	Greg Hill	Texas A&M	RB
1995	31	Trezelle Jenkins	Michigan	OT
1996	28	Jerome Woods	Memphis	SS
1997	13	Tony Gonzalez	California	TE
1998	27	Victor Riley	Auburn	OT
1999	14	John Tait	Brigham Young	OT
2000	21	Sylvester Morris	Jackson State	WR
2001	—	— No pick	—	—
2002	6	Ryan Sims	North Carolina	DT
2003	27	Larry Johnson	Penn State	RB
2004	—	— No pick	—	—
2005	15	Derrick Johnson	Texas	LB
2006	20	Tamba Hali	Penn State	DE
2007	23	Dwayne Bowe	Louisiana State	WR
2008	5	Glenn Dorsey	Louisiana State	DT
2008	15	Branden Albert	Virginia	G
2009	3	Tyson Jackson	Louisiana State	DE
2010	5	Eric Berry	Tennessee	S
2011	26	Jonathan Baldwin	Pittsburgh	WR
2012	11	Dontari Poe	Memphis	NT
2013	1	Eric Fisher	Central Michigan	OT
