Stage	Time (EEST)	Name	Length	Winner	Time	Avg. spd.	Rally leader
SS1	20:00	Killeri 1	2.50km	C. Atkinson	1:20.6	111.66km/h	C. Atkinson
SS2	07:54	Vellipohja 1	17.20km	J. Latvala	8:18.7	124.16km/h	J. Latvala
SS3	08:50	Mökkiperä 1	13.72km	M. Grönholm	6:47.5	121.21km/h	M. Grönholm
SS4	09:29	Palsankylä 1	13.31km	M. Hirvonen	6:47.4	117.61km/h	M. Hirvonen
SS5	12:06	Vellipohja 2	17.20km	M. Grönholm	8:10.1	126.34km/h	M. Grönholm
SS6	13:02	Mökkiperä 2	13.72km	M. Hirvonen M. Grönholm	6:42.7	122.65km/h	M. Grönholm
SS7	13:41	Palsankylä 2	13.31km	M. Grönholm	6:36.1	120.97km/h	M. Grönholm
SS8	16:21	Urria	9.96km	M. Grönholm	4:36.6	129.63km/h	M. Grönholm
SS9	16:51	Lautaperä	8.69km	M. Grönholm	3:56.7	132.17km/h	M. Grönholm
SS10	17:29	Jukojärvi	22.25km	M. Grönholm	10:35.6	126.02km/h	M. Grönholm
SS11	20:00	Killeri 2	2.50km	M. Grönholm	1:20.7	111.52km/h	M. Grönholm
SS12	07:17	Kaipolanvuori	13.46km	S. Loeb	6:53.4	117.21km/h	M. Grönholm
SS13	08:30	Juupajoki	22.13km	M. Grönholm	11:19.3	117.28km/h	M. Grönholm
SS14	09:14	Ouninpohja 1	33.00km	M. Grönholm	15:35.3	127.02km/h	M. Grönholm
SS15	12:15	Leustu	21.27km	M. Grönholm	10:12.6	124.99km/h	M. Grönholm
SS16	13:24	Ouninpohja 2	33.00km	M. Grönholm	15:19.8	129.16km/h	M. Grönholm
SS17	15:10	Ehikki 1	14.88km	M. Grönholm	6:52.2	129.96km/h	M. Grönholm
SS18	16:23	Himos	18.55km	M. Grönholm	10:09.8	109.51km/h	M. Grönholm
SS19	17:19	Ehikki 2	14.88km	M. Hirvonen	6:47.4	131.49km/h	M. Grönholm
SS20	17:54	Surkee	14.89km	M. Hirvonen	8:13.6	108.6km/h	M. Grönholm
SS21	10:15	Valkola	10.38km	M. Grönholm	5:35.9	111.25km/h	M. Grönholm
SS22	11:07	Lankamaa	22.82km	M. Grönholm	11:07.2	123.13km/h	M. Grönholm
SS23	12:22	Ruuhimäki	7.53km	M. Grönholm	3:57.8	113.99km/h	M. Grönholm
