Year	GDP at constant prices (THB trillions)	GDP at constant prices growth rate (percent change)	GDP at current prices (USD billions)	Export volume of goods and services (percent change)	Current account balance (percent of GDP)
1995	2.941	9.2	168.019	15.4	-7.9
1996	3.115	5.9	181.948	-5.5	-7.9
1997	3.072	-1.4	150.891	7.2	-2.0
1998	2.749	-10.5	111.860	8.2	12.8
1999	2.871	4.4	122.630	9.0	10.2
2000	3.008	4.8	122.725	17.5	7.6
2001	3.073	2.2	115.536	-4.2	4.4
2002	3.237	5.3	126.877	12.0	3.7
2003	3.467	7.1	142.640	7.0	3.4
2004	3.686	6.3	161.340	9.6	1.7
2005	3.856	4.6	176.352	4.1	-4.3
2006	4.054	5.1	207.089	12.5	1.2
