meas. num	passed	YES votes	NO votes	% YES	Const. Amd.?	type	description
1	YES	81954	68128	54.61%	Yes	LEG	Klamath County Bonding Amendment
2	No	54624	99125	35.53%	Yes	LEG	Six Percent Limitation Amendment
4	No	59442	121973	32.77%	Yes	LEG	Amendment Prohibiting Inheritance and Income Taxes
5	No	47878	124811	27.72%	No	LEG	The Seaside Normal School Act
6	YES	101327	80084	55.85%	No	LEG	The Eastern Oregon State Normal School Act
7	YES	100324	61307	62.07%	Yes	LEG	The Recall Amendment
8	YES	78823	61472	56.18%	Yes	LEG	Curry County Bonding or Tax Levy Amendment
10	YES	75229	61718	54.93%	Yes	LEG	Klamath and Clackamas County Bonding Amendment
11	YES	131296	48490	73.03%	No	LEG	The Eastern Oregon Tuberculosis Hospital Act
12	No	62254	123208	33.57%	No	Ref	Cigarette and Tobacco Tax Bill
13	YES	99746	78685	55.90%	No	Ref	Motor Bus and Truck Bill
15	No	50199	122512	29.07%	No	Init	Income Tax Bill With Property Tax Offset
16	No	76164	94533	44.62%	No	Init	Bus and Truck Operating License Bill
17	YES	102119	73086	58.29%	No	Init	Fish Wheel, Trap, Seine and Gillnet Bill
18	No	83991	93997	47.19%	No	Init	Income Tax Bill
