Tournament	2006	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	A	1R	2R	1R	3R	3R
French Open	A	A	1R	1R	LQ	1R	1R
Wimbledon	A	A	2R	1R	2R	2R	1R
US Open	A	A	1R	1R	1R	4R	1R
Win–Loss	0-0	0-0	1–4	1–4	1–3	6–4	2–4
Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship
WTA Tour Championships	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify	Did Not Qualify
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	Not Held	Not Held	A	Not Held	Not Held	Not Held	A
WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments
Indian Wells	A	A	A	1R	LQ	2R	2R
Miami	A	A	A	1R	A	2R	2R
Madrid	Not Held	Not Held	Not Held	1R	A	1R	1R
Beijing	NT I	NT I	NT I	A	A	SF	2R
WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments
Dubai	Not Tier I	Not Tier I	Not Tier I	2R	A	LQ	NP5
Doha	Not Tier I	Not Tier I	A	Not Held	Not Held	NP5	QF
Rome	A	A	2R	1R	A	A	1R
Cincinnati	Not Tier I	Not Tier I	Not Tier I	A	2R	1R	A
Canada	A	A	2R	1R	1R	LQ	A
Tokyo	A	A	A	A	A	A	1R
Year-End ranking	222	197	47	101	83	30	58
