Week	Date	Opponent	Location	Time ( ET )	Result	Record
1	Sun. Sep. 2	Kansas City Chiefs	Three Rivers Stadium	1:00pm	L 37–27	0–1
2	Thu. Sep. 6	at New York Jets	Giants Stadium	9:00pm	W 23–17	1–1
3	Sun. Sep. 16	Los Angeles Rams	Three Rivers Stadium	1:00pm	W 24–14	2–1
4	Sun. Sep. 23	at Cleveland Browns	Cleveland Municipal Stadium	1:00pm	L 20–10	2–2
5	Mon. Oct. 1	Cincinnati Bengals	Three Rivers Stadium	9:00pm	W 38–17	3–2
6	Sun. Oct. 7	Miami Dolphins	Three Rivers Stadium	1:00pm	L 31–7	3–3
7	Sun. Oct. 14	at San Francisco 49ers	Candlestick Park	4:00pm	W 20–17	4–3
8	Sun. Oct. 21	at Indianapolis Colts	Hoosier Dome	1:00pm	L 17–16	4–4
9	Sun. Oct. 28	Atlanta Falcons	Three Rivers Stadium	1:00pm	W 35–10	5–4
10	Sun. Nov. 4	Houston Oilers	Three Rivers Stadium	1:00pm	W 35–7	6–4
11	Sun. Nov. 11	at Cincinnati Bengals	Riverfront Stadium	1:00pm	L 22–20	6–5
12	Mon. Nov. 19	at New Orleans Saints	Louisiana Superdome	9:00pm	L 27–24	6–6
13	Sun. Nov. 25	San Diego Chargers	Three Rivers Stadium	1:00pm	W 52–24	7–6
14	Sun. Dec. 2	at Houston Oilers	Astrodome	1:00pm	L 23–20 OT	7–7
15	Sun. Dec. 9	Cleveland Browns	Three Rivers Stadium	1:00pm	W 23–20	8–7
16	Sun. Dec. 16	at Los Angeles Raiders	Los Angeles Memorial Coliseum	4:00pm	W 13–7	9–7
