Season	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1936/1937	Bengt Polling , Malmö BK	Thyra Hedvall , SBK	Bengt Polling Thore Sjögren , Malmö BK	Thyra Hedvall Märtha Sköld , SBK	Curt-Eric Walldow Edith Persson , BK-33 Malmö
1937/1938	Bengt Polling , Malmö BK	Thyra Hedvall , SBK	Sture Ericsson Gösta Kjellberg , Brandkåren SBK	Thyra Hedvall Märtha Sköld , SBK	Bengt Polling Gulli Paulsson , Malmö BK
1938/1939	Sture Ericsson , Brandkåren	Thyra Hedvall , Försäkringen	Sture Ericsson Gösta Kjellberg , Brandkåren SBK	Thyra Hedvall Carin Stridbäck , Försäkringsmännen	Bertil Jönsson Britt Pahle , BK-33 Malmö
1941/1942	Hasse Petersson , BK-33 Malmö	Martha Holmström , BK Aura	Sture Ericsson Gösta Kjellberg , Brandkåren SBK	Thyra Hedvall Carin Stridbäck , Försäkringsmännen	Bertil Jönsson Britt Pahle , BK-33 Malmö
1942/1943	Hasse Petersson , BK-33 Malmö	Thyra Hedvall , SBK	Helge Paulsson Bengt Polling , Malmö BK	Thyra Hedvall Märtha Sköld , SBK	Sven Malmfält Greta Lindahl , MAI
1943/1944	Hasse Petersson , BK-33 Malmö	Amy Pettersson , MAI	Helge Paulsson Bengt Polling , Malmö BK	Thyra Hedvall Märtha Sköld , SBK	Knut Malmgren Elsy Killick , MAI
1944/1945	Hasse Petersson , BK-33 Malmö	Carin Stridbeck , Fjäderbollen	Nils Jonson Anders Salén , BK Eken SBK	Elsy Killick Amy Pettersson , MAI	Olle Wahlberg Thyra Hedvall , SBK
1945/1946	Helge Paulsen , Malmö BK	Amy Pettersson , MAI	Nils Jonson Lars Carlsson , AIK	Thyra Hedvall Märtha Sköld , SBK	Nils Jonson Kerstin Bergström , AIK
1946/1947	Helge Paulsen , Malmö BK	Carin Stridbeck , Fjäderbollen	Nils Jonson Lars Carlsson , AIK	Thyra Hedvall Märtha Sköld , SBK	Nils JonsonSigne Håkansson , AIK BK Aura
1947/1948	Olle Wahlberg , AIK	Amy Pettersson , MAI	Nils Jonson Lars Carlsson , AIK	Margareta Blomqvist Carin Stridbäck , Fjäderbollen	Knut Malmgren Berit Nilsson , MAI
1948/1949	Nils Jonson , AIK	Berit Nilsson , MAI	Helge Paulsson Bengt Polling , Malmö BK	Berit Nilsson Amy Pettersson , MAI	Knut Malmgren Elsy Killick , MAI
1949/1950	Inge Blomberg , MAI	Amy Pettersson , MAI	Nils Jonson Olle Wahlberg , AIK	Thyra Hedvall Carin Ternström , SBK Fjäderbollen	Knut Malmgren Elsy Killick , MAI
1950/1951	Inge Blomberg , MAI	Thora Löfgren , Göteborgs BK	Nils Jonson Stellan Mohlin , AIK	Kerstin Bergström Bodil Sterner , AIK	Knut Malmgren Elsy Killick , MAI
1951/1952	Nils Jonson , AIK	Amy Pettersson , MAI	Nils Jonson Stellan Mohlin , AIK	Astrid Löfgren Tora Löfgren , Göteborgs BK	Knut Malmgren Elsy Killick , MAI
1952/1953	Nils Jonson , AIK	Ulla-Britt Schelin , ÖIS	Nils Jonson Stellan Mohlin , AIK	Bodil Sterner Kerstin Ståhl , AIK	Stellan Mohlin Kerstin Ståhl , AIK
1953/1954	Leif Ekedahl , Göteborgs BK	Ulla-Britt Schelin , ÖIS	Nils Jonson Stellan Mohlin , AIK	Ingrid Dahlberg Thyra Hedvall , SBK	Knut Malmgren Elsy Killick , MAI
1954/1955	Leif Ekedahl , Göteborgs BK	Berit Olsson , MAI	Nils Jonson Stellan Mohlin , AIK	Berit Olsson Amy Pettersson , MAI	Knut Malmgren Elsy Killick , MAI
1955/1956	Leif Ekedahl , Göteborgs BK	Berit Olsson , MFF	Nils Jonson Stellan Mohlin , AIK	Inger Nilsson Berit Olsson , MAI	Bertil Glans Berit Olsson , Halmstad BK MFF
1956/1957	Ingemar Eliasson , Halmstad BK	Berit Olsson , MFF	Knut Malmgren Bo Nilsson , MAI	Inger Nilsson Berit Olsson , MFF	Berndt Dahlberg Ingrid Dahlberg , SBK
1957/1958	Bertil Glans , Halmstad BK	Berit Olsson , BK Aura	Bo Nilsson Göran Wahlqvist , MAI BK Smash	Ingrid Dahlberg Berit Olsson , SBK BK Aura	Bertil Glans Berit Olsson , Halmstad BK BK Aura
1958/1959	Bertil Glans , Halmstad BK	Berit Olsson , BK Aura	Bo Nilsson Göran Wahlqvist , MAI BK Smash	Ingrid Dahlberg Berit Olsson , SBKBK Aura	Bertil Glans Berit Olsson , Halmstad BK BK Aura
1959/1960	Berndt Dahlberg , SBK	Eva Pettersson , BK Bollen	Berndt Dahlberg Bertil Glans , SBK Halmstad BK	Inger Nilsson Bodil Sterner , MFF Blackeberg	Bertil Glans Berit Olsson , Halmstad BK BK Aura
1960/1961	Leif Ekedahl , Göteborgs BK	Eva Pettersson , BK Bollen	Bengt-Åke Jönsson Göran Wahlqvist , BK Smash	Berit Olsson Ingrid Persson , BK Aura SBK	Bengt-Åke Jönsson Anita Billberg , BK Smash
1963/1964	Kurt Johnsson , Hisingen	Eva Pettersson , Ystads BK	Berndt Dahlberg Bertil Glans , SBK Halmstad BK	Gunilla Dahlström Eva Pettersson , AIK Ystads BK	Willy Lund Eva Pettersson , MAI Ystads BK
1966/1967	Sture Johnsson , Hisingen	Eva Twedberg , MAI	Willy Lund Göran Wahlqvist , MAI	Berit Ek Eva Twedberg , MAI	Göran Wahlqvist Eva Twedberg , MAI
1967/1968	Sture Johnsson , Hisingen	Eva Twedberg , MAI	Rolf Hansson Gert Nordqvist , BK Aura	Berit Ek Eva Twedberg , MAI	Göran Wahlqvist Eva Twedberg , MAI
1969/1970	Sture Johnsson , Hisingen	Eva Twedberg , MAI	Sture Johnsson Gert Perneklo , Hisingen BK Aura	Lena Andersson Eva Twedberg , MAI	Kurt Johnsson Karin Lindquist , Hisingen BK Eken
1970/1971	Sture Johnsson , Spårvägen	Eva Twedberg , MAI	Willy Lund Göran Wahlqvist , MAI	Ingrid Nilsson Eva Twedberg , MAI	Gert Perneklo Eva Twedberg , MAI
1971/1972	Sture Johnsson , Spårvägen	Eva Twedberg , MAI	Sture Johnsson Gert Perneklo , Spårvägen BK Aura	Ingrid Nilsson Eva Twedberg , MAI	Gert Perneklo Eva Twedberg , MAI
1972/1973	Sture Johnsson , Spårvägen	Anette Börjesson , GBK	Bengt Fröman Thomas Kihlström , IFK Lidingö	Anette Börjesson Karin Lindquist , GBK Spårvägen	Willy Lund Britt-Marie Larsson , MAI
