No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code
63	1	"The Man For the Job"	Richard L. Bare	Jay Sommers and Dick Chevillat	September6,1967	64
64	2	"Lisa's Jam Session"	Richard L. Bare	Jay Sommers and Dick Chevillat	September13,1967	66
65	3	"Love Comes to Arnold Ziffel"	Richard L. Bare	Jay Sommers and Dick Chevillat	September20,1967	65
66	4	"Oliver vs. the Phone Company"	Richard L. Bare	Jay Sommers and Dick Chevillat	September27,1967	67
67	5	"Oliver Takes Over the Phone Company"	Richard L. Bare	Jay Sommers and Dick Chevillat	October4,1967	68
68	6	"A Kind Word For the President"	Richard L. Bare	Jay Sommers and Dick Chevillat	October11,1967	70
69	7	"Don't Count Your Tomatoes Before They're Picked"	Richard L. Bare	Jay Sommers and Dick Chevillat	October18,1967	69
70	8	"Eb Elopes"	Richard L. Bare	Jay Sommers and Dick Chevillat	October25,1967	72
71	9	"The Thing"	Richard L. Bare	Jay Sommers and Dick Chevillat	November1,1967	73
72	10	"Das Lumpen"	Richard L. Bare	Jay Sommers and Dick Chevillat	November8,1967	74
73	11	"Won't You Come Home, Arnold Ziffel?"	Richard L. Bare	Jay Sommers and Dick Chevillat	November15,1967	75
74	12	"Jealousy, English Style"	Richard L. Bare	Jay Sommers and Dick Chevillat	November22,1967	76
75	13	"Haney's New Image"	Richard L. Bare	Bobby Bell and Bill Lee	November29,1967	77
76	14	"Alf and Ralph Break Up"	Richard L. Bare	Jay Sommers and Dick Chevillat	December13,1967	79
77	15	"No Trespassing"	Richard L. Bare	Dan Beaumont	December20,1967	78
78	16	"Eb Returns"	Richard L. Bare	Jay Sommers and Dick Chevillat	December27,1967	80
79	17	"Not Guilty"	Richard L. Bare	Jay Sommers and Dick Chevillat	January3,1968	71
80	18	"Home is Where You Run Away From"	Richard L. Bare	Jay Sommers and Dick Chevillat	January10,1968	81
81	19	"How to Succeed On TV Without Really Trying"	Richard L. Bare	Jay Sommers and Dick Chevillat	January24,1968	83
82	20	"Arnold Ziffel, Boy Hero"	Richard L. Bare	Jay Sommers and Dick Chevillat	January31,1968	84
83	21	"Flight to Nowhere"	Richard L. Bare	Jay Sommers and Dick Chevillat	February7,1968	82
84	22	"My Mother the Countess"	Richard L. Bare	Jay Sommers and Dick Chevillat	February14,1968	62
85	23	"The Spring Festival"	Richard L. Bare	Jay Sommers and Dick Chevillat	February21,1968	85
86	24	"Our Son, the Barber"	Richard L. Bare	Dan Beaumont	February28,1968	86
87	25	"Oliver's Jaded Past"	Richard L. Bare	Jay Sommers and Dick Chevillat	March6,1968	87
88	26	"The Hungarian Curse"	Richard L. Bare	Jay Sommers and Dick Chevillat	March13,1968	88
89	27	"The Rutabaga Story"	Richard L. Bare	Jay Sommers and Dick Chevillat	March20,1968	89
90	28	"Instant Family"	Richard L. Bare	Jay Sommers and Dick Chevillat	March27,1968	90
91	29	"A Star Named Arnold is Born, Part 1"	Richard L. Bare	Jay Sommers and Dick Chevillat	April3,1968	91
