Country	Host	Channel	Premiere	Jackpot
Arab World	Abbas El Nouri	MBC4	April 15, 2011	500.000 SR
Brazil	Silvio Santos	SBT	January 20, 2008	R$ 100.000
Brazil	Carlos Massa	SBT	2009–2010	R$ 100.000
Bulgaria	Vitomir Saraivanov	Nova TV	2009	200.000 лв
China	Lee Jiah	Shenzhen TV	December 9, 2010	Unknown
Colombia	Jorge Alfredo Vargas	Canal Caracol	May 23, 2007	CO$ 100.000.000
Croatia	Jasna Nanut	Nova TV	September 2008	500.000 Kn
Czech Republic	Petr Šiška	TV Prima	September 25, 2008	5.000.000 Kč
Denmark	Lars Hjortshøj	TV3	September 17, 2008	Kr 500.000
Estonia	Hannes Võrno	Kanal 2	September 1, 2008	1.000.000 Kr
Finland	Ilari Johansson	MTV3	Spring 2009	€ 50.000
Georgia	Nanka Kalatozishvili	Imedi TV	Winter 2009	100.000 ლ
Germany	Christoph Bauer	RTL2	Late 2008	€ 25.000
Greece	Eugenia Manolidou	ANT1	October 10, 2008	€ 200.000
Hong Kong	Johnson Lee	TVB Jade	TBA	TBA
Hungary	Gabriella Jakupcsek	TV2	March 5, 2008	20.000.000 Ft
India	Rajeev Khandelwal	Star Plus	July 15, 2009	1.00.00.000 Rs.
Israel	Gadi Sukenik	Channel 2	July 9, 2008	₪ 1.000.000
Italy	Paola Perego	Italia 1	June 12, 2008	€ 250.000
Macedonia	Aneta Kociski	А1	February, 2009	3.000.000 ден
Netherlands	Robert ten Brink	RTL 4	September 6, 2008	€ 100.000
Norway	Stein Johnsen	TVNORGE	Unknown	500.000 Kr
Poland	Zygmunt Chajzer	Polsat	March 5, 2009	250.000 zł
Peru	Beto Ortiz	Frecuencia Latina	July 7, 2012	S/. 50.000
Portugal	Teresa Guilherme	SIC	September 9, 2008	€ 250.000
Romania	Teo va	Prima TV	March 3, 2008	150.000 lei
Russia	Andrey Malakhov	1TV	July 24, 2010	1.000.000 руб
Serbia	Tatjana Vojtehovski Stevanov	RTV Pink	February 4, 2009	5.000.000 din
Serbia	Nina Lečić Radulović	RTV Pink	September, 2012	5.000.000 din
Slovenia	Jonas Žnidaršič	TV3 Slovenia	April 6, 2009	€ 50.000
South Korea	Gura Kim	QTV	July 11, 2009	₩ 100.000.000
Spain	Emma García	Telecinco	April 2, 2008	€ 100.000
Sweden	Pontus Gårdinger	Kanal 5	April 20, 2008	500.000 Kr
Taiwan	利菁 (Li Jin)	NextTV	July 4, 2011	NTD 2,000,000
Ukraine	Andriy Domansky	Novyi Kanal	January 30, 2009	₴ 50.000
Ukraine	Dmitry Karpachev	СТБ	April 2, 2012	₴ 150.000
United Kingdom	Jerry Springer	Sky One	November 10, 2007	£ 50.000
United States	Mark L. Walberg	FOX	January 23, 2008	US$ 500.000
