Season	Class	Team	Motorcycle	Type	Races	Wins	Podiums	Poles	Fastest Laps	Pts	Position
2002	125cc	Polini	Honda	Honda RS125R	1	0	0	0	0	0	NC
2003	125cc	Team Scot	Honda	Honda RS125R	14	0	0	0	0	32	19th
2004	125cc	Kopron Team Scot	Honda	Honda RS125R	16	0	1	0	0	61	13th
2005	250cc	MS Aprilia Italia Corse	Aprilia	Aprilia RSW 250 LE	16	0	0	0	0	59	14th
2006	125cc	Squadra Corse Metis Gilera	Gilera	Gilera RS 125	14	0	0	0	0	79	12th
2007	125cc	Skilled Racing Team	Aprilia	Aprilia RS 125	17	1	2	0	0	168	6th
2008	125cc	Jack & Jones WRB	Aprilia	Aprilia RSA 125	17	4	7	3	2	225	2nd
2009	125cc	Jack & Jones WRB	Aprilia	Aprilia RSA 125	16	0	2	0	0	81	11th
2010	Moto2	JiR Moto2	Motobi	TSR TSR6	17	0	2	0	0	138	5th
2011	Moto2	Ioda Racing Project	FTR	FTR Moto M211	17	0	2	0	0	127	6th
2012	Moto2	Ioda Racing Project	FTR	FTR Moto M212	17	0	0	1	0	87	11th
2013	Moto2	NGM Mobile Racing	Speed Up	Speed Up SF13	16	0	1	0	0	92*	11th*
