Television service	Country	Language	Content	HDTV	Package/Option
Sky TG 24	Italy	Italian	all news	no	Any combination
Sky TG 24 Active	Italy	Italian	all news	no	Any combination
Rai 1	Italy	Italian	general television	no	no ( FTA )
Rai 2	Italy	Italian	general television	no	no ( FTA )
Rai 3	Italy	Italian	general television	no	no ( FTA )
Rete 4	Italy	Italian	general television	no	no ( FTA )
Canale 5	Italy	Italian	general television	no	no ( FTA )
Italia 1	Italy	Italian	general television	no	no ( FTA )
LA7	Italy	Italian	general television	no	no ( FTV )
MTV	Italy	Italian	general television	no	no ( FTV )
