Year	League	Reg. Season	Playoffs	Avg. Attendance
1989-90	MISL	4th East, 20-32	Failed to qualify	5,543
1990-91	MSL	1st East, 29-23	Lost Championship	4,640
1991-92	MSL	3rd MISL, 20-20	Lost Semifinal	7,056
1992-93	NPSL	2nd American, 25-15	Lost Championship	6,483
1993-94	NPSL	2nd American, 23-17	Won Championship	6,677
1994-95	NPSL	1st American, 30-10	Lost Semifinal	7,579
1995-96	NPSL	1st American, 31-9	Won Championship	7,647
1996-97	NPSL	1st Central, 29-11	Lost Championship	8,044
1997-98	NPSL	2nd Central, 21-19	Lost Conference Semifinal	8,265
1998-99	NPSL	1st Central, 26-14	Won Championship	8,034
1999-00	NPSL	1st Central, 27-17	Lost Championship	6,290
2000-01	NPSL	5th American, 18-22	Failed to qualify	6,317
2001-02	MISL II	5th MISL, 16-28	Failed to qualify	4,688
2002-03	MISL II	2nd East, 19-17	Lost Conference Semifinal	5,381
2003-04	MISL II	3rd East, 15-21	Lost Quarterfinal	4,955
2004-05	MISL II	2nd MISL, 23-16	Lost Championship	3,639
