Week	Date	Time ( PT )	Opponent	Result	Record	Game site
1	September 7, 2008	1:15 p.m.	Arizona Cardinals	L 13-23	0-1	Candlestick Park
2	September 14, 2008	1:05 p.m.	at Seattle Seahawks	W 33-30 (OT)	1-1	Qwest Field
3	September 21, 2008	1:05 p.m.	Detroit Lions	W 31-13	2-1	Candlestick Park
4	September 28, 2008	10 a.m.	at New Orleans Saints	L 17-31	2-2	Louisiana Superdome
5	October 5, 2008	1:15 p.m.	New England Patriots	L 21-30	2-3	Candlestick Park
6	October 12, 2008	1:15 p.m.	Philadelphia Eagles	L 26-40	2-4	Candlestick Park
7	October 19, 2008	10 a.m.	at New York Giants	L 17-29	2-5	Giants Stadium
8	October 26, 2008	1:15 p.m.	Seattle Seahawks	L 13-34	2-6	Candlestick Park
9	Bye week	Bye week	Bye week	Bye week	Bye week	Bye week
10	November 10, 2008	5:30 p.m.	at Arizona Cardinals	L 24-29	2-7	University of Phoenix Stadium
11	November 16, 2008	1:05 p.m.	St. Louis Rams	W 35-16	3-7	Candlestick Park
12	November 23, 2008	10 a.m.	at Dallas Cowboys	L 22-35	3-8	Texas Stadium
13	November 30, 2008	10 a.m.	at Buffalo Bills	W 10-3	4-8	Ralph Wilson Stadium
14	December 7, 2008	1:05 p.m.	New York Jets	W 24-14	5-8	Candlestick Park
15	December 14, 2008	10 a.m.	at Miami Dolphins	L 9-14	5-9	Land Shark Stadium
16	December 21, 2008	10 a.m.	at St. Louis Rams	W 17-16	6-9	Edward Jones Dome
17	December 28, 2008	1:15 p.m.	Washington Redskins	W 27-24	7-9	Candlestick Park
