Language	Artist	Song	Place	Points
Dutch	Hearts of Soul	" Waterman "	7	7
French	Henri Dès	" Retour "	4	8
Italian	Gianni Morandi	" Occhi di ragazza "	8	5
Slovene	Eva Sršen	" Pridi, dala ti bom cvet "	11	4
French	Jean Vallée	" Viens l'oublier "	8	5
French	Guy Bonnet	" Marie-Blanche "	4	8
English	Mary Hopkin	" Knock, Knock Who's There? "	2	26
French	David Alexandre Winter	" Je suis tombé du ciel "	12	0
Spanish	Julio Iglesias	" Gwendolyne "	4	8
French	Dominique Dussault	" Marlène "	8	5
German	Katja Ebstein	" Wunder gibt es immer wieder "	3	12
English	Dana	" All Kinds of Everything "	1	32
