Week	Date	Opponent	Result	Attendance
1	September 8, 1985	Kansas City Chiefs	L 47-27	57,760
2	September 15, 1985	at Denver Broncos	L 34-23	74,488
3	September 22, 1985	Tampa Bay Buccaneers	W 20-13	45,320
4	September 29, 1985	at San Francisco 49ers	W 20-17	58,053
5	October 6, 1985	Philadelphia Eagles	W 23-21	56,364
6	October 13, 1985	at Los Angeles Raiders	L 23-13	48,152
7	October 20, 1985	at Atlanta Falcons	L 31-24	44,784
8	October 27, 1985	New York Giants	L 21-13	54,082
9	November 3, 1985	at Los Angeles Rams	L 28-10	49,030
10	November 10, 1985	Seattle Seahawks	L 27-3	47,365
11	November 17, 1985	at Green Bay Packers	L 38-14	52,104
12	November 24, 1985	at Minnesota Vikings	W 30-23	54,117
13	December 1, 1985	Los Angeles Rams	W 29-3	44,122
14	December 8, 1985	at St. Louis Cardinals	L 28-16	29,527
15	December 15, 1985	San Francisco 49ers	L 31-19	46,065
16	December 22, 1985	Atlanta Falcons	L 16-10	37,717
