Heat	Lane	Name	Nationality	Time
3	2	Liu Zige	China	2:06.46
5	5	Aurore Mongel	France	2:06.49
3	4	Yuko Nakanishi	Japan	2:06.62
5	6	Jiao Liuyang	China	2:06.89
5	4	Otylia Jędrzejczak	Poland	2:06.91
3	6	Natsumi Hoshi	Japan	2:07.02
4	6	Kathleen Hersey	United States	2:07.65
4	7	Micha Kathrine Østergaard Jensen	Denmark	2:07.77
5	3	Elaine Breeden	United States	2:07.92
4	5	Jemma Lowe	Great Britain	2:08.07
4	4	Jessicah Schipper	Australia	2:08.11
4	3	Audrey Lacroix	Canada	2:08.54
5	2	Samantha Hamill	Australia	2:08.83
4	8	Petra Granlund	Sweden	2:08.97
4	2	Ellen Gandy	Great Britain	2:08.98
2	6	Kathryn Meaklim	South Africa	2:09.41
2	4	Nina Dittrich	Austria	2:09.85
5	7	Beatrix Boulsevicz	Hungary	2:10.00
2	5	Sara Oliveira	Portugal	2:10.14
3	8	Stephanie Horner	Canada	2:10.33
3	7	Paola Cavallino	Italy	2:10.46
5	8	Joanna Melo	Brazil	2:10.64
5	1	Choi Hye-Ra	South Korea	2:11.42
2	8	Tetyana Khala	Ukraine	2:12.16
4	1	Yana Martynova	Russia	2:12.47
2	7	Tao Li	Singapore	2:12.63
3	5	Emese Kovács	Hungary	2:12.73
3	1	Magali Rousseau	France	2:13.12
2	2	Yang Chin-Kuei	Chinese Taipei	2:13.26
1	5	Eleftheria Evgenia Efstathiou	Greece	2:13.27
2	1	Denisa Smolenová	Slovakia	2:13.81
1	6	Gülşah Günenç	Turkey	2:14.44
1	4	Ingvild Snildal	Norway	2:14.53
1	3	Kristina Lennox-Silva	Puerto Rico	2:17.27
2	3	Georgina Bardach	Argentina	DNS
3	3	Sara Isakovič	Slovenia	DNS
