Player	Matches	Inns	Runs	High Score	Average	Catches	Stump
H J H Marshall	11	21	1218	168	60.9	6	0
I J Harvey	9	15	561	114	56.1	4	0
A P R Gidman	16	31	1244	120	49.76	2	0
C M Spearman	16	31	1370	192	44.19	18	0
Kadeer Ali	11	22	834	145	39.71	6	0
W P C Weston	13	24	911	130	39.6	7	0
M A Hardinges	11	15	444	107	34.15	0	0
S J Adshead	16	28	687	79	29.86	47	2
C G Taylor	14	27	705	121	26.11	12	0
J Lewis	11	14	242	57	20.16	4	0
M G N Windows	5	9	127	48	15.87	2	0
M C J Ball	10	15	215	58	15.35	16	0
S P Kirby	15	22	106	19	9.63	3	0
