Name	Pld.	Goals	Assists	Points	Pims
Milos Melicherik	57	22	56	78	40
Lukas Smital	59	31	45	76	80
Taras Foremsky	53	33	37	70	78
Rob Lamey	60	25	34	59	20
Rick Plant	55	19	34	53	79
Stuart Potts	61	10	37	47	43
Ollie Bronnimann	60	21	18	39	16
Paul Dixon	57	7	30	37	32
David Savage	61	17	19	36	102
Vaclav Zavoral	46	14	18	32	215
Martin Bouz	26	12	15	27	32
Nick Cross	29	13	11	23	74
Neil Liddiard	58	7	17	24	96
Steve Lee	56	11	12	23	61
Terry Miles	50	5	16	21	26
Rick Skene	52	3	11	14	80
Mark Williams *	30	1	3	4	62
Ben Austin	61	1	3	4	16
Matt Hepburn	38	0	2	2	0
Callum Best	35	0	1	1	0
Joe Watkins	54	0	1	1	6
Andrew Sumner	1	0	0	0	0
Alex Mettam	9	0	0	0	0
