Year	Title	Role	Producer	Director
1996	Sana Naman	Bless	MaQ	Boots Plata
1996	Mara Clara: The Movie	Mara	Star Cinema	Emil Cruz Jr./Jerry Lopez Sineneng
1996	Kung Alam Mo Lang	Anna	MaQ	Boots Plata
1997	Ako Ba Ang Nasa Puso Mo?	Teresa	MaQ	Jose Javier Reyes
1997	Kulayan Natin Ang Bukas	Maria Elisa (Mariles)	Regal Films	Boots Plata
1997	Nasaan Ka Nang Kailangan Kita?	Stefanie(Stef)	Regal Films	Boots Plata
1997	Paano Ang Puso Ko?	Cecile	Star Cinema	Rory Quintos
1997	Wow... Multo	Judy	MaQ	Tony Y. Reyes
1997	Sanggano	Angelica	MegaVision	Toto Natividad
1997	Babae	Alex	Gem/Premiere	Sigrid Andrea Bernardo
1997	Nasaan Ang Puso?	Ria	MaQ	Chito S. Roño
1998	Babangon Ang Huling Patak Ng Dugo	Isabel	Rockfield Ent. Co.	Jose Balagtas
1998	Muling Ibalik Ang Tamis Ng Pag-ibig	Milet	Star Cinema	Boots Plata
1998	I'm Sorry, My Love	Tinay	Viva Films	Joyce Bernal
1998	Kay Tagal Kang Hinintay	Anna	Star Cinema	Rory Quintos
1998	Kasal-kasalan... Sakalan	Milet	Crown Seven Ventures/Solar Films	Edgardo Vinarao
1999	My Pledge of Love	Raida	Viva Films	Boots Plata
1999	Gimik: The Reunion	Dianne Villaruel	Star Cinema	Laurenti Dyogi
1999	Isusumbong Kita Sa Tatay Ko	Joey	Star Cinema/FPJ Productions	Boots Plata
1999	Dito Sa Puso Ko	Ligaya Tatlonghari	Viva Films	Eric Quizon
1999	Esperanza: The Movie	Esperanza Estrera	Star Cinema	Jerry Lopez Sineneng
