No.	Title	Directed by	Written by	U.S. viewers (million)	Rank (week)	Original air date
1	" Pilot " "Everybody Lies"	Bryan Singer	David Shore	7.05	62	November16,2004
2	" Paternity "	Peter O'Fallon	Lawrence Kaplow	6.09	68	November23,2004
3	" Occam's Razor "	Bryan Singer	David Shore	6.33	67	November30,2004
4	" Maternity "	Newton Thomas Sigel	Peter Blake	6.74	61	December7,2004
5	" Damned If You Do "	Greg Yaitanes	Sara B. Cooper	6.91	56	December14,2004
6	" The Socratic Method "	Peter Medak	John Mankiewicz	6.73	50	December21,2004
7	" Fidelity "	Bryan Spicer	Thomas L. Moran	6.91	53	December28,2004
8	" Poison "	Guy Ferland	Matt Witten	12.37	25	January25,2005
9	" DNR "	Frederick King Keller	David Foster	12.75	14	February1,2005
10	" Histories "	Dan Attias	Joel Thompson	14.97	15	February8,2005
11	" Detox "	Nelson McCormick	Lawrence Kaplow & Thomas L. Moran	14.22	17	February15,2005
12	" Sports Medicine "	Keith Gordon	John Mankiewicz & David Shore	15.53	13	February22,2005
13	" Cursed "	Daniel Sackheim	Matt Witten & Peter Blake	15.53	12	March1,2005
14	" Control "	Randy Zisk	Lawrence Kaplow	17.33	4	March15,2005
15	" Mob Rules "	Tim Hunter	David Foster & John Mankiewicz	17.34	7	March22,2005
16	" Heavy "	Fred Gerber	Thomas L. Moran	18.28	7	March29,2005
17	" Role Model "	Peter O'Fallon	Matt Witten	15.04	11	April12,2005
19	" Kids "	Deran Sarafian	Thomas L. Moran & Lawrence Kaplow	17.14	12	May3,2005
20	" Love Hurts "	Bryan Spicer	Sara B. Cooper	18.80	10	May10,2005
21	" Three Stories "	Paris Barclay	David Shore	17.68	14	May17,2005
