Date	Opponent	Score	Loss	Save
August 1	@ Phillies	4 - 1	McWilliams (2-11)	Williams (27)
August 2	@ Phillies	6 - 0	Sanderson (9-7)	|| 21,688 ||60-47||
August 3	@ Phillies	2 - 0	Ruffin (3-5)	Lancaster (3)
August 4	@ Pirates	3 - 2	Drabek (8-8)	Williams (28)
August 5	@ Pirates	4 - 2	Landrum (2-2)	Lancaster (4)
August 6	@ Pirates	5 - 4 18	Sanderson (9-8)	|| 24,716 ||63-48||
August 7	Expos	5 - 2	Pérez (6-11)	|| 39,002 ||64-48||
August 8	Expos	4 - 2	Den. Martinez (12-2)	Lancaster (5)
August 9	Expos	3 - 0	B. Smith (9-6)	Williams (29)
August 10	Phillies	16 - 13	Wilson (5-1)	|| 36,745 ||66-49||
August 11	Phillies	9 - 2	Carman (3-12)	|| 36,440 ||67-49||
August 12	Phillies	9 - 7	Howell (9-8)	Williams (30)
August 13	Phillies	5 - 3	Wilson (5-2)	|| 37,054 ||68-50||
August 15	@ Reds	5 - 2 12	Roesler (0-1)	|| 31,694 ||69-50||
August 16	@ Reds	5 - 1	Leary (8-10)	|| 29,764 ||70-50||
August 17	@ Reds	3 - 2	Franco (3-6)	Williams (31)
August 18	@ Astros	6 - 5	Schiraldi (3-5)	|| 31,987 ||71-51||
August 19	@ Astros	8 - 4	Maddux (14-9)	|| 41,661 ||71-52||
August 20	@ Astros	8 - 4	Lancaster (3-1)	|| 38,624 ||71-53||
August 21	Reds	6 - 5 10	Schiraldi (3-6)	Franco (26)
August 22	Reds	7 - 2	Kraemer (0-1)	|| 35,179 ||71-55||
August 23	Reds	8 - 5	Maddux (14-10)	|| 33,054 ||71-56||
August 25	Braves	4 - 3 12	Eichhorn (4-4)	|| 35,456 ||72-56||
August 26	Braves	5 - 3	Sutcliffe (13-10)	Boever (21)
August 27	Braves	3 - 2 10	Eichhorn (4-5)	|| 35,107 ||73-57||
August 28	Astros	6 - 1	Cano (0-1)	|| 23,039 ||74-57||
August 29	Astros	10 - 9 10	Smith (3-4)	|| 25,829 ||75-57||Cubs come back from 9-0 deficit
August 30	Astros	8 - 4	Sutcliffe (13-11)	|| 37,218 ||75-58||
