Player	Position	School	Hometown	College
Mario Edwards, Jr.	Defensive line	Ryan High School	Denton, Texas	Florida State
Ellis McCarthy	Defensive line	Monrovia High School	Monrovia, California	UCLA
Noah Spence	Defensive line	Bishop McDevitt High School	Harrisburg, Pennsylvania	Ohio State
Tommy Schutt	Defensive line	Glenbard West High School	Glen Ellyn, Illinois	Ohio State
Darius Hamilton	Defensive line	Don Bosco Preparatory High School	Ramsey, New Jersey	Rutgers
Vince Biegel	Linebacker	Lincoln High School	Wisconsin Rapids, Wisconsin	Wisconsin
Scott Starr	Linebacker	Norco High School	Norco, California	Southern California
Noor Davis	Linebacker	Lessburg High School	Leesburg, Florida	Stanford
Shaq Thompson	Defensive back	Grant Union High School	Sacramento, California	Washington
Landon Collins	Defensive back	Dutchtown High School	Geismar, Louisiana	Alabama
Leon McQuay III ‡	Defensive back	Armwood High School	Seffner, Florida	Southern California
