Chassis Manufacturer	Chassis Model	Body Model	Number in Fleet	Fleet Numbers
MAN	11.190 HOCL-NL	PMCA 160	20	2101-2120
MAN	18.280 HOCL-NL	ABM CB64A	50	2701-2750
Mercedes-Benz	O405NH	ABM CB60	2	2520-2521
Mitsubishi	Fuso Rosa	Mitsubishi Rosa	6	34, 2601-2603, 2605-2606
Scania	Scania K280UB	Custom Coaches CB60 Evo II	3	2522-2523, 3225
Scania	Scania L94UA	Custom Coaches CB60 Combo	22	2802-2823
Scania	Scania L94UA	Volgren CR228L	1	3331
Scania	Scania L94UB	Volgren CR224L	30	2510-2511, 3200-3222, 3269-3273
Scania	Scania L94UB	Volgren CR228L	2	3274-3275
Scania	Scania L94UB	Custom Coaches CB60A	29	2530-2558
Scania	Scania L94UB 14.5m	Volgren CR224L	14	3310-3313, 3350-3359
Scania	Scania L94UB 14.5m	Volgren CR228L	3	3314-3316
Scania	Scania K230UB	Custom Coaches CB60 Evo II	27	2559-2585
Scania	Scania K270UB	Volgren CR228L	3	3276-3278
Scania	Scania K230UB	Custom Coaches CB80	7	2586-2592
Scania	Scania K280UB	Volgren CR228L	1	3230
Scania	Scania K320UA	Custom Coaches Evo II	6	2831-2836
Scania	Scania K320UA	Custom Coaches CB80	14	2837-2850
Scania	Scania K360UA	Custom Coaches CB80	21	2851-2857, 3371-3376, R800-R807
