Rank	Team	Country	Value ($M)	Revenue ($M)
1	Manchester United	England	2,235	532
2	Real Madrid	Spain	1,877	695
3	Barcelona	Spain	1,307	653
4	Arsenal	England	1,292	364
5	Bayern Munich	Germany	1,235	466
6	Milan	Italy	989	341
7	Chelsea	England	761	362
8	Liverpool	England	619	295
9	Juventus	Italy	591	223
10	Schalke 04	Germany	587	293
11	Tottenham Hotspur	England	564	262
12	Internazionale	Italy	490	307
13	Manchester City	England	443	246
14	Borussia Dortmund	Germany	394	197
15	Lyon	France	385	193
16	Hamburg	Germany	355	187
17	Roma	Italy	354	208
18	Marseille	France	349	218
19	Valencia	Spain	288	186
20	Napoli	Italy	283	167
