Year	Album	Record label	Info	Music
2013	Cut Like A Diamond	Replay Music/Sony Music India	Tracks 10	Partners In Rhyme
2011	Maharajas	MovieBox/ Speed Records / Music Waves	Tracks 12	Sukshinder Shinda
2008	Rambo	MovieBox/ Speed Records /Planet Recordz	Tracks 11	Sukshinder Shinda
2005	Romeo	MovieBox/ Tips / Music Waves	Tracks 10	Sukshinder Shinda
2002	Tera Roop	MovieBox/ Tips / Music Waves	Tracks 9	Sukshinder Shinda
2001	Oh Kedi Oh Kehri	MovieBox/ Music Waves / Tips	Tracks 8 Tracks 8	Sukshinder Shinda
2000	Stayin' Real Surma	Kiss Records/ Music Waves / Tips	Tracks 9 Tracks 8	Sukshinder Shinda Sukshinder Shinda
1999	All Eyez On Me	Kiss Records/SuperTone Melodies/ Music Waves	Tracks 9	Sukshinder Shinda
1997	Folkal Attraction	Kiss Records/SuperTone Melodies/ Music Waves	Tracks 8	Sukshinder Shinda
1995	Folk 'N Funky	Kiss Records/SuperTone Melodies/ Music Waves	Tracks 8	Sukshinder Shinda
1994	The Canadian Spice	SuperTone Melodies	Tracks 11	Sukshinder Shinda
1993	Ghugian Da Jorra	Kiss Records/SuperTone Melodies	Tracks 8	Sukshinder Shinda
