Year	Class	Team	Points	Rank	Wins
1972	125cc	Yamaha	12	15th	0
1972	250cc	Yamaha	8	20th	0
1972	350cc	Yamaha	0	–	0
1972	500cc	Yamaha	5	29th	0
1973	125cc	Yamaha	0	–	0
1973	250cc	Yamaha	15	16th	1
1973	350cc	Yamaha	0	–	0
1973	500cc	Yamaha	0	–	0
1974	250cc	Yamaha	15	12th	1
1974	350cc	Yamaha	0	–	0
1974	500cc	Yamaha	18	10th	0
1975	250cc	Yamaha	0	–	0
1975	350cc	Yamaha	15	14th	1
1975	500cc	Yamaha	4	28th	0
1976	250cc	Yamaha	0	–	0
1976	350cc	Yamaha	0	–	0
1976	500cc	Yamaha	0	–	0
1980	250cc	Yamaha	2	30th	0
1981	350cc	Yamaha	6	20th	0
